Ted per order,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,12.25258430609598,14.491705231388329,20.510032017075773,15.218506767250942,17.16918851618573,12.376947918611162
2,13.01067390935325,13.09207486631016,17.728831691194813,16.079086391770552,13.161889775413712,11.189721175584024
3,12.172534979423869,18.64006185180557,15.704660067526088,11.880449387199272,14.922100468505986,10.785822019395322
4,13.135767749036871,18.33471266564729,14.827595951629863,10.602228782287822,12.246438389788905,8.831388101983002
5,12.867466810190168,17.5572209000722,15.261953526760204,14.80790115532734,15.440644452581472,9.214620426829269
6,13.446084724005134,17.453642394244017,16.428590344030066,14.353952205882353,13.54979407979408,8.45338185415489
7,12.404474021808852,17.25132476855398,16.385918999097125,14.7909169550173,13.746753562738965,9.052569255059566
8,13.783552253116012,16.974054112931334,16.052664609053497,13.776051835853131,11.070540638606676,8.427392040643522
9,11.86238320520402,16.430420619419642,15.545288082509854,14.894367596484525,12.59769403194172,8.293325914935707
