Tri gmv,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.2299587410187983,0.2112995735728608,0.1871079728152029,0.2054026387596379,0.2006004527927156,0.222989175825936
2,0.2337941118105548,0.2185032802047467,0.1851209939028265,0.1978507387072617,0.2087854479002486,0.2254307712832631
3,0.2288446192798658,0.1790667882881768,0.1974130144816461,0.2119904882720428,0.1994159117688776,0.2272764868401742
4,0.2149940741588415,0.1760226247748614,0.1922853181134589,0.2180143754289511,0.2016893816436994,0.2213691732174111
5,0.2149410852247805,0.1820949103944732,0.1930949689774117,0.2162022189096235,0.1956428971154495,0.2259379322270033
6,0.220999769978104,0.1822414979096249,0.1915862526581134,0.2144905854133896,0.1908353826508119,0.2282775607375902
7,0.2129151898074326,0.1859304956702485,0.1887700617202138,0.2041768268939168,0.1940784437594914,0.2255821432186062
8,0.2024919953831667,0.1835572675468527,0.1872365762780898,0.2044382148845508,0.2049702674065977,0.2260600713089768
9,0.2227081479643322,0.1819746062383039,0.1886129559068687,0.1917004120634659,0.1979277541744914,0.2281947199436941
