Tri per order,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,8.355797665369652,8.339200201207243,8.374207461370702,9.01991864507063,8.576222352424198,9.225279074108643
2,8.639658801561705,8.355796791443849,7.783659578448489,8.565846918315753,8.24063977541371,9.250871640291384
3,8.565100823045267,7.777786142696489,8.727886740331492,9.02457557875624,8.218818323789693,9.351801483171704
4,8.075316455696202,7.4267077599388385,7.976561514195582,9.267121771217711,8.177712322042218,8.445275417060119
5,7.964951560818084,7.516795464876861,8.016414195924067,9.863074454428755,8.329126693518857,8.71822256097561
6,8.07842105263158,7.540207939990816,8.16163573287077,9.345395220588236,7.664241588527302,8.55876483889203
7,8.030051314945478,7.609021908034404,7.991340126402681,8.645262975778545,8.089899200556134,8.692130041624802
8,7.69790987535954,7.443346767166259,8.000421320791691,8.664371490280777,8.084695210449926,8.818033446232006
9,7.81238320520402,7.2746793619791665,7.989646849181922,8.026255254107758,7.938792378817597,9.288907022749752
