country_code,month_,priority,eff_online_rs,complete_orders,daily_orders,orders_per_eff_online,active_rs,b_cancel_rate,bad_rating_rate,daily_online_hours,healthy_stores,exposure_uv,shop_enter_uv,click_pay_user_cnt_app,pay_success_user_cnt_app,b_p1,b_p2,b_p1p2,r_burn,r_burn_gmv,r_burn_per_order,b2c_total_burn,b2c_gmv,b2c_per_order,tri_per_order,total_p2c_burn,p2c_gmv,p2c_burn_per_order,ted,ted_gmv,ted_per_order,imperfect_orders,imperfect_order_rate,pay_order_cnt,b_cancel_order_cnt,
CO,1,Priority 2,630,86626,2794.387097,4.435535074,549.3870968,0.02505913258,0.02424214439,4750.470484,563.0322581,9331852,963798,96386,90059,0.1032804635,0.1000064329,0.01032871074,675954483,0.175053657,7803.136275,97471863,0.02524254,1125.203322,7332.105095,441588032,0.11435918,5097.638492,1215014378,0.314655373,14025.97809,2173,0.02508484751,91743,2299,477.821403
CO,1,Priority 4,634.2903226,47275,1525,2.404261812,486.3548387,0.03747201383,0.03215230037,5334.564203,566.9032258,10034115,860787,55278,50055,0.08578604092,0.06421797727,0.005509006026,368262489,0.174289207,7789.793527,45792175,0.02167226,968.6340561,7322.645732,237526689,0.1124153,5024.361481,651581353,0.308376771,13782.78906,1452,0.03071390799,50918,1908,510.3043788
CO,1,Priority 3,163.6451613,3911,126.1612903,0.7709442145,64.03225806,0.05761221657,0.03017131168,1275.575,139.1612903,1362865,81435,4659,4235,0.05975280017,0.05721127279,0.003418533751,17981297,0.100663436,4597.621324,4495859,0.02516885,1149.542061,8286.880082,19471946,0.10900843,4978.763999,41949102,0.23484072,10725.92738,125,0.03196113526,4322,249,268.6506998
CO,1,Priority 5,1782.096774,32821,1058.741935,0.5940990135,591.0322581,0.08834891962,0.03275342007,12716.6466,1429.096774,17785172,855745,41990,36696,0.04811564375,0.04906835564,0.00236095552,157473131,0.105208788,4797.938241,21994933,0.01469495,670.1481673,8392.643186,165484192,0.11056103,5042.021632,344952256,0.230464769,10510.10804,1018,0.0310167271,37533,3316,321.9326998
CO,1,,93.12903226,32963,1063.322581,11.41773467,85.80645161,0.01329578773,0.04866061948,875.1464875,85.35483871,4106297,398525,36161,34006,0.09705216159,0.09073709303,0.008806231015,562192519,0.329011994,17055.2595,68110485,0.03986031,2066.270819,6454.681522,166698288,0.09755686,5057.133392,797001292,0.466429159,24178.66371,1508,0.0457482632,34447,458,1422.340492
CO,1,Priority 1,322.7096774,177631,5730.032258,17.7559976,318.6774194,0.009039100753,0.02806942482,2850.768584,298.5483871,13649752,1618244,192363,181253,0.118554828,0.1188714434,0.01409278352,2412744723,0.292584743,13582.90345,336687833,0.0408289,1895.433978,6444.506663,943732978,0.11444305,5312.884451,3693165534,0.4478567,20791.22188,4933,0.02777105348,184421,1667,1364.429428
CO,1,New Rs,259.0322581,12116,390.8387097,1.508841843,113.2580645,0.04225352113,0.04291845494,1833.302312,201.4516129,2326943,178573,13700,12771,0.07674145864,0.07671932487,0.005887552897,76729850,0.152214136,6332.935787,45330114,0.08992438,3741.343183,7123.8776,68327436,0.13554571,5639.438429,190387400,0.377684221,15713.7174,492,0.04060746121,13135,555,289.7811955
CO,2,Priority 4,696.4827586,45178,1557.862069,2.236756114,530.9655172,0.03278688525,0.02813316216,5918.833851,629.5172414,9610622,581165,52046,47516,0.06047111207,0.08955460153,0.005415466345,337177386,0.167714652,7463.309266,70483639,0.03505911,1560.1319,7372.702975,219268776,0.10906599,4853.44141,626929801,0.311839755,13876.88258,1293,0.02862012484,48312,1584,475.8204773
CO,2,Priority 2,712.3448276,85026,2931.931034,4.115887308,611.7931034,0.02326772925,0.02332227789,5427.32251,641.6896552,10129993,735045,94477,88142,0.07256125448,0.1285322667,0.009326462516,648230601,0.176450223,7623.910345,123803684,0.03369972,1456.068544,7005.582786,421177302,0.11464567,4953.51189,1193211587,0.324795605,14033.49078,2090,0.02458071649,89781,2089,490.3665892
CO,2,Priority 1,343.8275862,179959,6205.482759,18.0482399,339.7241379,0.007121979996,0.02740068571,3093.27249,324.2068966,14484872,1118877,193982,183320,0.07724452104,0.1733720507,0.01339204102,2428656477,0.292934866,13495.60998,327424338,0.03949262,1819.438528,6365.281364,925375355,0.11161509,5142.145461,3681456170,0.444042573,20457.19397,4855,0.02697836729,186465,1328,1452.70003
CO,2,Priority 3,182.6206897,2896,99.86206897,0.5468277946,63.44827586,0.061620269,0.0296961326,1432.747797,158.5517241,1052195,57230,3517,3135,0.05439105869,0.06145378298,0.003342536317,11626837,0.085918155,4014.791782,6136330,0.04534528,2118.898481,8582.492403,13681540,0.10110167,4724.288674,31444707,0.232365105,10857.97894,80,0.02762430939,3197,197,198.6773036
CO,2,New Rs,342,13596,468.8275862,1.370840895,154,0.04161591555,0.03839364519,2496.231868,274.6896552,2490747,166093,15429,14446,0.06668401086,0.09289374025,0.006194527184,99493615,0.175784875,7317.859297,52864869,0.09340141,3888.266328,7049.752427,71695736,0.12667171,5273.296264,224054220,0.395857996,16479.42189,532,0.03912915563,14778,615,251.1339988
CO,2,Priority 5,1995.103448,26793,923.8965517,0.4630820284,576.4482759,0.09000651042,0.03030642332,14292.36523,1615.724138,14374656,592083,34466,30089,0.04118936829,0.05821143319,0.00239769216,127697666,0.104624121,4766.083156,42374851,0.03471819,1581.564252,8386.82488,132821305,0.10882198,4957.313664,302893822,0.248164284,11304.96107,819,0.03056768559,30720,2765,248.4471637
CO,2,,16.06896552,2556,88.13793103,5.484978541,11.75862069,0.01826313828,0.03873239437,156.9734866,14.86206897,724350,22458,2813,2639,0.03100434873,0.1252560335,0.003883481742,33290877,0.276215521,13024.59977,4107063,0.03407644,1606.83216,5921.003521,12368474,0.10262164,4838.996088,49766414,0.412913602,19470.42801,100,0.03912363067,2683,49,1554.399142
