country_code,month_,priority,eff_online_rs,complete_orders,daily_orders,orders_per_eff_online,active_rs,b_cancel_rate,bad_rating_rate,daily_online_hours,healthy_stores,exposure_uv,shop_enter_uv,click_pay_user_cnt_app,pay_success_user_cnt_app,b_p1,b_p2,b_p1p2,r_burn,r_burn_gmv,r_burn_per_order,b2c_total_burn,b2c_gmv,b2c_per_order,tri_per_order,total_p2c_burn,p2c_gmv,p2c_burn_per_order,ted,ted_gmv,ted_per_order,imperfect_orders,imperfect_order_rate,pay_order_cnt,b_cancel_order_cnt,
CR,1,Priority 1,80.64516129,31760,1024.516129,12.704,79.4516129,0.01194138971,0.02122166247,843.6623297,77.77419355,2462318,268112,34360,32267,0.1088860172,0.1281553977,0.01395433084,43561313,0.172968715,1371.577865,8124970,0.03226178,255.8239924,1674.221977,10881505,0.04320714,342.6166562,62567788,0.248437642,1970.018514,699,0.02200881612,32827,392,984.9272
CR,1,Priority 4,124.7419355,9132,294.5806452,2.361520559,100.0967742,0.02522055008,0.03120893561,1218.039418,111.9032258,1772641,149149,10413,9486,0.08413942812,0.06981608995,0.005874285882,8609041,0.115277652,942.7333552,1045915,0.01400512,114.532961,1869.765331,3680160,0.04927845,402.9960578,13335116,0.17856122,1460.262374,260,0.02847130968,9635,243,458.4021205
CR,1,,2.64516129,106,3.419354839,1.292682927,1.483870968,0.06779661017,0.05660377358,22.69112903,2.032258065,115642,2893,125,115,0.02501686239,0.04320774283,0.001080922156,35924,0.045801274,338.9056604,1682,0.00214446,15.86792453,1885.056604,29426,0.03751665,277.6037736,67032,0.085462392,632.3773585,4,0.03773584906,118,8,1410.268293
CR,1,Priority 5,455.8387097,7906,255.0322581,0.5594791593,142.1290323,0.07621402878,0.03124209461,3842.535717,351.8064516,3144032,174624,9680,8729,0.05554141943,0.05543338831,0.00307884907,6932287,0.10395048,876.8387301,725411,0.01087763,91.75449026,1959.099798,3296807,0.04943602,417.0006324,10954505,0.164264123,1385.593853,267,0.03377181887,8896,678,222.4918265
CR,1,New Rs,32.22580645,829,26.74193548,0.8298298298,12.77419355,0.05021367521,0.05548854041,264.7175,24.06451613,192092,16457,999,910,0.08567249027,0.06070365194,0.00520063303,1120378,0.164246052,1351.481303,331130,0.04854326,399.4330519,1743.610374,344573,0.05051398,415.6489747,1796081,0.26330329,2166.563329,46,0.05548854041,936,47,192.2842843
CR,1,Priority 2,138.7741935,15359,495.4516129,3.570199907,121.9354839,0.02736349069,0.02330880917,1256.687742,125.5483871,1645723,162252,17180,15946,0.09859010295,0.1058846732,0.01043918083,19678571,0.16242542,1281.24038,2273454,0.01876492,148.0209649,1686.071229,5483802,0.04526288,357.0416043,27435827,0.226453217,1786.302949,359,0.02337391757,16226,444,382.5483496
CR,1,Priority 3,134.8709677,1801,58.09677419,0.4307581918,40.51612903,0.07110438729,0.02609661299,1179.219659,111.3225806,607538,40694,2172,1954,0.06698181842,0.05337396176,0.003575085015,1209058,0.071468007,671.32593,160309,0.00947594,89.01110494,2270.055525,884781,0.05229984,491.2720711,2254148,0.133243785,1251.609106,50,0.02776235425,1983,141,145.3092562
CR,2,Priority 4,133.2068966,8109,279.6206897,2.099145742,106.3448276,0.02378441711,0.0247872734,1299.766389,117.7931034,1610904,85817,9295,8408,0.05327257242,0.1083118729,0.005770052095,7513508,0.109379809,926.5640646,1049082,0.01527228,129.372549,1899.372179,3482406,0.05069601,429.4495006,12044996,0.175348101,1485.386114,203,0.02503391294,8535,203,417.0085426
CR,2,Priority 1,83.89655172,30792,1061.793103,12.65598027,83.27586207,0.01060849309,0.02075214341,876.0769636,81.55172414,2458090,164203,33119,31277,0.06680105285,0.2016954623,0.01347346924,44634933,0.17814597,1449.562646,6153597,0.0245601,199.8440179,1646.006917,11213511,0.04475512,364.169622,62002041,0.247461192,2013.576286,688,0.02234346584,31767,337,1010.312372
CR,2,,2.75862069,79,2.724137931,0.9875,1.344827586,0.02298850575,0.0253164557,26.43296935,2.482758621,86776,1949,90,84,0.02246012722,0.04617752694,0.00103715313,12152,0.022230841,153.8227848,730,0.00133546,9.240506329,1723.481013,47195,0.08633842,597.4050633,60077,0.109904725,760.4683544,1,0.01265822785,87,2,1084.7
