country_code,month_,priority,eff_online_rs,complete_orders,daily_orders,orders_per_eff_online,active_rs,b_cancel_rate,bad_rating_rate,daily_online_hours,healthy_stores,exposure_uv,shop_enter_uv,click_pay_user_cnt_app,pay_success_user_cnt_app,b_p1,b_p2,b_p1p2,r_burn,r_burn_gmv,r_burn_per_order,b2c_total_burn,b2c_gmv,b2c_per_order,tri_per_order,total_p2c_burn,p2c_gmv,p2c_burn_per_order,ted,ted_gmv,ted_per_order,imperfect_orders,imperfect_order_rate,pay_order_cnt,b_cancel_order_cnt,exposure_per_eff_online
MX,1,,416.5483871,78290,2525.483871,6.062882367,326.3870968,0.01731315506,0.01964490995,3610.18319,341.7741935,12061189,727963,85069,80382,0.06035582396,0.1168589612,0.007053118892,4039014.68,0.192894646,51.59042892,755486.56,0.03608041,9.64984749,55.73630566,1073469.88,0.05126661,13.71145587,5867971.12,0.280241669,74.95173228,1612,0.02059011368,81672,1414,934.0346163
MX,1,Priority 3,1671.290323,46122,1487.806452,0.8902142444,681.6774194,0.0431197839,0.02328606739,12685.18384,1396.451613,11357606,665575,51200,48550,0.05860169828,0.07692596627,0.004507992265,913189.2,0.07321593,19.79942761,391253.46,0.03136917,8.483011578,64.79050085,663703.58,0.05321315,14.39017345,1968146.24,0.15779825,42.67261264,1258,0.02727548675,49606,2139,219.2164833
MX,1,New Rs,853.6129032,68161,2198.741935,2.575806817,501.7419355,0.02571907288,0.02329778026,6062.451658,637.0322581,9380823,805041,73670,70328,0.08581773689,0.09151086715,0.007853255519,1531966.19,0.087770262,22.47570003,2198786.98,0.12597413,32.25872537,61.431316,913799.53,0.05235391,13.40648655,4644552.7,0.266098306,68.14091196,1906,0.02796320477,71620,1842,354.5016628
MX,1,Priority 4,7082.516129,697281,22492.93548,3.175839641,6016.483871,0.02806801857,0.01824945754,52115.94637,5900.483871,101498873,7709570,760276,722105,0.07595719807,0.09861457902,0.007490487111,17789517.86,0.10041908,25.51269554,3920641.23,0.02213141,5.622756435,58.7771613,9184260.29,0.05184373,13.17153384,30894419.38,0.174394225,44.30698582,14849,0.02129557524,733682,20593,462.2872908
MX,1,Priority 1,3067.032258,1429772,46121.67742,15.03788468,3058.580645,0.008842408198,0.01599275968,24404.56916,2811.612903,91127994,8972409,1507190,1447806,0.09845941523,0.1679805279,0.01653926454,58384796.17,0.170361505,40.83503955,11996529.68,0.03500478,8.390519384,50.15538404,17263506.2,0.05037333,12.07430709,87644832.05,0.255739618,61.29986603,27755,0.019412186,1470527,13003,958.4551
MX,1,Priority 5,8777.612903,264203,8522.677419,0.9709561715,3722.290323,0.06596584886,0.02217991469,61219.00174,6364.516129,116406787,4503706,303569,285481,0.03868937642,0.06740426662,0.002607829044,4810004.87,0.075468154,18.20571632,1592734.72,0.02498974,6.028450547,57.79240107,3380574.23,0.05304063,12.79536656,9783313.82,0.153498521,37.02953343,6557,0.02481803765,291469,19227,427.7994127
MX,1,Priority 2,3369.645161,573440,18498.06452,5.489617936,3134.354839,0.02166566355,0.01643240792,22419.01139,2892.064516,47286422,4298685,617101,590066,0.09090738563,0.1435557618,0.013050279,15464276.39,0.115600601,26.96755788,3851700.64,0.02879274,6.716832868,52.88287144,6802427.84,0.05085041,11.86249275,26118404.87,0.19524375,45.54688349,11486,0.02002999442,599797,12995,452.6792521
MX,2,Priority 5,8830.724138,211999,7310.310345,0.8278268272,3463.413793,0.06769651703,0.02114632616,61469.03646,6369.655172,96537453,3268378,246422,230984,0.03385606206,0.07539580795,0.002552605153,3569242.97,0.068457249,16.83613116,1613605.47,0.03094858,7.611382459,58.75588592,2048515.51,0.03929005,9.662854589,7231363.95,0.138695876,34.11036821,5028,0.02371709301,235374,15934,376.9654264
MX,2,Priority 2,3724.413793,536357,18495.06897,4.965900674,3388.965517,0.02112886367,0.01626528599,25048.28661,3218.068966,46858628,3306810,580223,554030,0.07056992791,0.1754630596,0.01238241546,14211323.45,0.111950547,26.49601562,3037263.97,0.02392623,5.662765602,53.20026473,4923665.34,0.03878647,9.179828622,22172252.76,0.174663242,41.33860984,10794,0.02012465578,562548,11886,433.8440486
MX,2,Priority 4,7469.448276,637977,21999.2069,2.945225147,6294.310345,0.02780729115,0.0178219591,55321.73348,6245.62069,94519374,5693823,698992,662902,0.06023974513,0.122763212,0.007395224602,16216557.07,0.098197633,25.4187174,4265861.04,0.02583147,6.686543621,59.34650589,6294571.82,0.03811611,9.866455719,26776989.93,0.162145209,41.97171674,13233,0.02074212707,672953,18713,436.3493311
