country_code,month_,priority,eff_online_rs,complete_orders,daily_orders,orders_per_eff_online,active_rs,b_cancel_rate,bad_rating_rate,daily_online_hours,healthy_stores,exposure_uv,shop_enter_uv,click_pay_user_cnt_app,pay_success_user_cnt_app,b_p1,b_p2,b_p1p2,r_burn,r_burn_gmv,r_burn_per_order,b2c_total_burn,b2c_gmv,b2c_per_order,tri_per_order,total_p2c_burn,p2c_gmv,p2c_burn_per_order,ted,ted_gmv,ted_per_order,imperfect_orders,imperfect_order_rate,pay_order_cnt,b_cancel_order_cnt,
PE,1,,43.93548387,3059,98.67741935,2.245961821,18.67741935,0.01570845115,0.02844066688,453.557957,39.25806452,616994,45005,3412,3139,0.07294236249,0.07581379847,0.005530037569,41259.72,0.271034891,13.48797646,12138.22,0.07973591,3.968035306,9.50218372,14978.03,0.0983906,4.89638117,68375.97,0.449161399,22.35239294,78,0.02549852893,3183,50,453.0058737
PE,1,Priority 3,83.32258065,1281,41.32258065,0.4959349593,26.77419355,0.02514792899,0.0281030445,677.8798477,66.83870968,514221,36570,1527,1338,0.07111728226,0.04175553733,0.002969540334,4940.51,0.087763995,3.856760343,1861.74,0.03307224,1.453348946,10.29354411,6282.91,0.1116106,4.904691647,13085.16,0.232446837,10.21480094,27,0.02107728337,1352,34,199.0789779
PE,1,Priority 2,215.8064516,19831,639.7096774,2.964275037,166.6129032,0.02199961656,0.03101205184,1612.047885,175.516129,2786624,300919,22634,20526,0.1079869405,0.07521625421,0.008122373166,217129.08,0.242469941,10.94897282,66105.09,0.07382013,3.333421915,9.010802279,93062.75,0.10392399,4.692791589,376296.92,0.420214059,18.97518632,548,0.0276335031,20864,459,416.535725
PE,1,Priority 1,93.48387097,38066,1227.935484,13.1352657,89.74193548,0.008951731855,0.02256606946,880.7716935,84.93548387,2794041,344107,40424,38635,0.1231574626,0.1174750877,0.01446793372,490748.31,0.291967541,12.89203778,143557.38,0.08540854,3.771275679,8.190835128,142491.58,0.08477445,3.74327694,776797.27,0.462150524,20.4065904,907,0.02382703725,39322,352,964.1273292
PE,1,Priority 5,792.2580645,10446,336.9677419,0.4253257329,209.4516129,0.05859341041,0.03331418725,5725.464444,559.8387097,5864121,354692,12790,11319,0.06048510936,0.0360594544,0.002181060043,62015.94,0.145893138,5.936812177,16077.54,0.03782258,1.539109707,9.086278958,50975,0.11991921,4.879858319,129068.48,0.30363493,12.3557802,301,0.02881485736,11503,674,238.7671417
PE,1,Priority 4,58.96774194,3146,101.483871,1.721006565,39.90322581,0.02114164905,0.02542911634,572.8311828,50.22580645,831417,67664,3524,3259,0.08138395053,0.05208087018,0.004238546963,26385.96,0.198552908,8.387145582,3968.14,0.02986004,1.261328671,8.426942149,13650.6,0.10272002,4.339033694,44004.7,0.331132964,13.98750795,86,0.02733630006,3311,70,454.8233042
PE,1,New Rs,240.8709677,6168,198.9677419,0.826034552,82.83870968,0.07198838897,0.03501945525,1574.969928,170.0645161,1325433,102749,7171,6624,0.07752108179,0.06979143349,0.005410307424,29556.2,0.131876144,4.791861219,22115.07,0.09867473,3.585452335,8.355797665,23902.67,0.10665079,3.875270752,75573.94,0.337201662,12.25258431,215,0.03485732815,6890,496,177.5054239
PE,2,Priority 3,87.93103448,1209,41.68965517,0.4741176471,27.37931034,0.0332046332,0.0264681555,708.8931513,71.20689655,615045,28062,1430,1277,0.04562592981,0.05095859169,0.002325033128,5133.31,0.098460103,4.245913978,2801.97,0.05374354,2.317593052,9.913176179,5052.97,0.09691913,4.179462366,12988.25,0.249122774,10.7429694,35,0.02894954508,1295,43,241.1941176
PE,2,Priority 1,100.4482759,29975,1033.62069,10.29007896,97.34482759,0.01004216422,0.02215179316,938.0806322,92.72413793,2023405,170882,31816,30487,0.08445269237,0.1861869594,0.01572399001,363842.65,0.289858181,12.1382035,81990.22,0.06531817,2.735286739,7.622646205,92036.66,0.07332175,3.070447373,537869.53,0.428498098,17.94393761,680,0.02268557131,31069,312,694.6120838
PE,2,Priority 2,224.1034483,14794,510.137931,2.276350208,171.8965517,0.02768957195,0.02980938218,1658.838132,181.8965517,2157367,161107,17136,15433,0.07467760469,0.1063640934,0.007943015722,142147.97,0.224475706,9.608487901,35593.51,0.05620818,2.405942274,8.58486143,59091.73,0.09331584,3.994303772,236833.21,0.373999727,16.00873395,396,0.02676760849,15746,436,331.9536852
PE,2,Priority 4,69.86206897,3560,122.7586207,1.75715696,51.20689655,0.02158848614,0.02668539326,669.275364,61.27586207,920696,51246,4058,3701,0.05566006586,0.07918666823,0.004407535169,29393.52,0.197150904,8.256606742,6651.47,0.04461335,1.868390449,8.421168539,14284.86,0.09581272,4.012601124,50329.85,0.33757697,14.13759831,93,0.02612359551,3752,81,454.4402764
PE,2,,21.17241379,749,25.82758621,1.219869707,7.413793103,0.02171136654,0.01869158879,210.9143487,18.17241379,292274,9823,820,771,0.03360887386,0.08347755268,0.002805586539,3535.41,0.114690935,4.720173565,1996.47,0.06476675,2.665514019,9.028931909,3229.43,0.10476475,4.311655541,8761.31,0.284222434,11.69734312,14,0.01869158879,783,17,476.0162866
PE,2,New Rs,238.4827586,5891,203.137931,0.8517929439,94.5862069,0.07257091129,0.03717535223,1616.655335,167.5172414,1437183,75561,6892,6456,0.05257576801,0.0912110745,0.004795492293,24448.95,0.112307347,4.150220676,28619.01,0.1314627,4.858090307,8.639658802,23577.92,0.10830623,4.002362926,76645.88,0.352076282,13.01067391,200,0.03395009336,6628,481,207.8055234
PE,2,Priority 5,811.0344828,8940,308.2758621,0.3801020408,214.2413793,0.0702471104,0.0322147651,5857.312682,578.0344828,6465412,255640,11113,9851,0.03953963027,0.04347128775,0.001718838645,41940.39,0.118088514,4.691318792,17179.23,0.04837031,1.921614094,9.074013423,37870.86,0.10663023,4.236114094,96990.48,0.27308906,10.84904698,285,0.03187919463,10036,705,274.889966
PE,3,Priority 2,238.3548387,14596,470.8387097,1.975368791,170.5483871,0.03103448276,0.03110441217,1743.960529,190.9032258,2203473,162651,17067,15364,0.07381574451,0.1049301879,0.007745499945,143738.45,0.222591366,9.847797342,37260,0.05770032,2.552754179,8.812377364,49461.88,0.07659598,3.388728419,230460.33,0.356887663,15.78927994,432,0.0295971499,15660,486,298.2099066
PE,3,New Rs,195.6129032,4860,156.7741935,0.8014511873,75.03225806,0.07697920467,0.04403292181,1364.508575,137.0322581,1391872,70668,5710,5332,0.05077191006,0.08080036226,0.004102388725,22702.75,0.124810299,4.671347737,20230.71,0.11122005,4.162697531,8.565100823,16225.06,0.08919865,3.338489712,59158.52,0.325228995,12.17253498,195,0.04012345679,5482,422,229.530343
PE,3,,3.838709677,122,3.935483871,1.025210084,1.387096774,0.03076923077,0.03278688525,37.08521505,3.225806452,172859,2727,137,129,0.01577586357,0.05023835717,7.93E-04,496.33,0.103662968,4.068278689,237.25,0.04955179,1.944672131,8.572459016,455.27,0.09508722,3.731721311,1188.85,0.248301977,9.744672131,4,0.03278688525,130,4,1452.596639
PE,3,Priority 4,79.80645161,4868,157.0322581,1.967663703,62.03225806,0.02849441663,0.02855382087,734.849319,69.83870968,1062926,62613,5539,5103,0.05890626441,0.08846405698,0.005211087131,45602.7,0.215086449,9.367851274,11858.53,0.0559311,2.436016845,8.612274035,16200.33,0.07640932,3.327923172,73661.56,0.347426872,15.13179129,156,0.03204601479,5194,148,429.6386419
PE,3,Priority 5,790.5806452,8474,273.3548387,0.3457646483,201.3870968,0.06375803562,0.03139013453,5778.636828,570.4516129,6758197,253829,10454,9319,0.03755868614,0.04118520736,0.001546862277,36795.66,0.105988614,4.342183148,20117.57,0.05794796,2.374034694,9.466924711,30043.71,0.08653986,3.545398867,86956.94,0.250476429,10.26161671,244,0.02879395799,9489,605,275.7547331
PE,3,Priority 1,105.516129,34345,1107.903226,10.49984714,103.7096774,0.009246248103,0.02358421895,975.3505108,93.90322581,2129720,192217,36361,34893,0.09025458746,0.1891664109,0.01707313637,434816.41,0.295808577,12.6602536,107781.56,0.07332453,3.138202358,7.648136847,87348.85,0.05942402,2.543277042,629946.82,0.428557129,18.341733,841,0.02448682487,35582,329,651.0914094
PE,3,Priority 3,87.67741935,1291,41.64516129,0.4749816041,27.67741935,0.03242074928,0.02865995352,696.944767,68.83870968,620565,27663,1499,1370,0.04457711924,0.05418790442,0.002415540677,5486.86,0.094458549,4.250085205,4266.7,0.07345299,3.304957397,10.25062742,4772.51,0.08216072,3.696754454,14526.07,0.250072262,11.25179706,39,0.0302091402,1388,45,228.316777
PE,4,Priority 3,88.66666667,1243,41.43333333,0.4672932331,27.3,0.02575757576,0.02413515688,715.2602778,69.43333333,466480,23551,1408,1301,0.05048662322,0.05978514713,0.003018350197,6212.65,0.116755214,4.998109413,3105.82,0.05836812,2.498648431,9.323258246,3985.79,0.07490552,3.206588898,13304.26,0.250028847,10.70334674,24,0.0193081255,1320,34,175.3684211
PE,4,Priority 5,762.9333333,6322,210.7333333,0.2762146103,159.3,0.05621301775,0.02831382474,5562.524509,549.4666667,4956720,182213,7815,6973,0.0367608015,0.04288936574,0.00157664746,28497.36,0.118707033,4.507649478,2788.15,0.01161416,0.4410234103,8.598343879,20601.53,0.0858166,3.258704524,51887.04,0.216137796,8.207377412,181,0.02863018032,7098,399,216.5641384
PE,4,,0,0,0,null,0,null,null,0,0,111491,912,0,0,0.008180032469,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,null
PE,4,Priority 2,277.7333333,12661,422.0333333,1.51956313,165.0666667,0.0298474626,0.02661717084,2041.864713,221.0333333,1934129,137737,14787,13215,0.07121396763,0.1073567741,0.007645301839,122286.09,0.229370774,9.658485902,25472.12,0.0477778,2.011856883,8.238758392,38827.69,0.0728287,3.066715899,186585.9,0.349977273,14.73705868,313,0.02472158597,13636,407,232.1326212
PE,4,Priority 1,108.5,33302,1110.066667,10.23102919,105.7,0.01067595177,0.02192060537,996.7485556,96.16666667,1875346,178602,35479,34086,0.09523682563,0.1986483914,0.01891864221,425793.67,0.306834526,12.78582878,96511.75,0.06954809,2.898076692,7.313623506,76837.59,0.05537054,2.307296559,599143.01,0.431753157,17.99120203,749,0.02249114167,34751,371,576.1431644
PE,4,Priority 4,87.4,4863,162.1,1.854691076,63.8,0.02606680826,0.03269586675,796.7263426,75.7,864091,54649,5481,5085,0.06324449624,0.1002946074,0.006343081921,46389.08,0.224355488,9.539189801,9486.66,0.04588115,1.950783467,8.272270204,14756.7,0.07136909,3.034484886,70632.44,0.341605729,14.52445815,168,0.03454657619,5179,135,329.5541571
PE,4,New Rs,128.8,3634,121.1333333,0.9404761905,56.33333333,0.06091245376,0.02751788663,890.1975,97.9,741210,43113,4138,3938,0.05816570203,0.09598033076,0.005582763319,23117.97,0.169368138,6.361576775,13653.72,0.10003063,3.75721519,8.075316456,10963.69,0.08032279,3.016975784,47735.38,0.349721555,13.13576775,102,0.02806824436,4055,247,191.8245342
