country_code,month_,priority,eff_online_rs,complete_orders,daily_orders,orders_per_eff_online,active_rs,b_cancel_rate,bad_rating_rate,daily_online_hours,healthy_stores,exposure_uv,shop_enter_uv,click_pay_user_cnt_app,pay_success_user_cnt_app,b_p1,b_p2,b_p1p2,r_burn,r_burn_gmv,r_burn_per_order,b2c_total_burn,b2c_gmv,b2c_per_order,tri_per_order,total_p2c_burn,p2c_gmv,p2c_burn_per_order,ted,ted_gmv,ted_per_order,imperfect_orders,imperfect_order_rate,pay_order_cnt,b_cancel_order_cnt,exposure_per_eff_online
CO,1,Priority 4,760.92,47912,1916.48,2.518635336,590.4,0.03786648101,0.03018033061,6180.910211,674.52,8461719,687011,56128,50593,0.08119047678,0.08169883743,0.006633167563,358101294,0.174978809,7474.146226,34265336,0.01674305,715.1723159,7001.995659,260546691,0.12731076,5438.025776,652913321,0.319032623,13627.34432,1383,0.02886541994,51708,1958,444.8151711
CO,1,Priority 2,536.1935484,244226,7878.258065,14.69293707,528.6129032,0.01019402938,0.02953412004,4665.602177,500.2580645,20758483,2373797,265009,249617,0.1143531057,0.1116392851,0.01276629896,3211902772,0.281061125,13151.35478,452180104,0.03956852,1851.48225,6553.985272,1286404459,0.11256825,5267.270721,4950487335,0.433197902,20270.10775,7098,0.0290632447,253776,2587,1248.855914
CO,1,Priority 5,1548.36,23089,923.56,0.5964762717,502.96,0.08187355756,0.03170340855,11002.26831,1230.52,11726777,529632,29386,25906,0.04516432776,0.05548380762,0.002505888873,114424140,0.100093437,4955.785872,14066175,0.0123045,609.2154273,9393.050933,120343630,0.10527156,5212.162935,248833945,0.217669496,10777.16423,704,0.03049070986,26431,2164,302.9470407
CO,1,Priority 3,776.6451613,41582,1341.354839,1.727114139,446.8387097,0.04256123879,0.02679043817,5923.435529,674.3225806,8717717,672399,47773,44153,0.07713017066,0.07104858871,0.005479989773,287031401,0.156138442,6902.780073,52550295,0.02858614,1263.775071,7384.235054,198249028,0.10784289,4767.664566,537830724,0.292567473,12934.21971,1161,0.02792073493,44947,1913,362.091585
CO,1,Priority 1,58.74193548,3997,128.9354839,2.194947831,29.61290323,0.01980906921,0.02752064048,436.2712634,51.03225806,627661,57862,4330,4114,0.09218670588,0.07483322388,0.0068986284,48774401,0.205045435,12202.75231,3377549,0.01419907,845.0210158,9950.612459,19815695,0.08330431,4957.641981,71967645,0.302548812,18005.41531,129,0.03227420565,4190,83,344.6792971
CO,1,,391.9677419,20421,658.7419355,1.68060242,208.483871,0.05337632097,0.03858772832,2920.460358,320.1612903,5977696,457833,24211,21921,0.07659021135,0.05288172762,0.004050222694,174374634,0.191385686,8538.986044,18113689,0.01988076,887.0128299,7192.132462,89142622,0.0978389,4365.24274,281630945,0.309105346,13791.24161,734,0.03594339161,22332,1192,491.9509505
CO,1,New Rs,259.0322581,12116,390.8387097,1.508841843,113.2580645,0.04225352113,0.04291845494,1833.302312,201.4516129,2326943,178573,13700,12771,0.07674145864,0.07671932487,0.005887552897,76729850,0.152214136,6332.935787,45330114,0.08992438,3741.343183,7123.8776,68327436,0.13554571,5639.438429,190387400,0.377684221,15713.7174,492,0.04060746121,13135,555,289.7811955
CO,2,Priority 1,34.10344828,2469,85.13793103,2.496461072,16.82758621,0.01647509579,0.042527339,269.1661782,29.31034483,391923,29738,2723,2560,0.07587714934,0.09156634609,0.006947793317,18207254,0.185146466,7374.343459,3557305,0.03617363,1440.787768,6529.831916,13889334,0.14123827,5625.489672,35653893,0.362558367,14440.6209,91,0.03685702714,2610,43,396.2821031
CO,2,Priority 4,744.3448276,43403,1496.655172,2.010701381,541.3793103,0.0346995006,0.02854641384,6406.556379,669.4827586,9495396,563535,50367,45682,0.05934823571,0.08937687987,0.005304360134,335075553,0.171740862,7720.101214,68506598,0.03511262,1578.383937,7401.347902,211525083,0.10841585,4873.51296,615107234,0.315269334,14171.99811,1232,0.02838513467,46456,1612,439.8867785
CO,2,Priority 2,529.1034483,217434,7497.724138,14.17062044,519.4137931,0.008447308473,0.02663336921,4620.696561,500.3448276,19500456,1466856,235209,221846,0.07522162559,0.1603490731,0.01206171794,2708663371,0.27138232,12457.40487,383160343,0.03838902,1762.191483,6531.712133,1112958145,0.11150783,5118.602174,4204781859,0.42127917,19338.19853,5762,0.0264999954,225634,1906,1270.884776
