country_code,month_,priority,eff_online_rs,complete_orders,daily_orders,orders_per_eff_online,active_rs,b_cancel_rate,bad_rating_rate,daily_online_hours,healthy_stores,exposure_uv,shop_enter_uv,click_pay_user_cnt_app,pay_success_user_cnt_app,b_p1,b_p2,b_p1p2,r_burn,r_burn_gmv,r_burn_per_order,b2c_total_burn,b2c_gmv,b2c_per_order,tri_per_order,total_p2c_burn,p2c_gmv,p2c_burn_per_order,ted,ted_gmv,ted_per_order,imperfect_orders,imperfect_order_rate,pay_order_cnt,b_cancel_order_cnt,exposure_per_eff_online
CO,1,Priority 1,0,0,0,null,0,null,null,0,0,406285,3266,0,0,0.008038692051,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,null
CO,1,Priority 2,603.516129,254171,8199.064516,13.58549361,586.2258065,0.01063286543,0.02980670493,5213.580932,558.2258065,21634741,2489381,276243,259970,0.1150640537,0.11096855,0.0127684912,3317179171,0.283264366,13050.97423,463202253,0.0395543,1822.404023,6462.259691,1341100703,0.11452081,5276.371824,5121482127,0.437339472,20149.75008,7474,0.0294054003,264369,2811,1156.381474
CO,1,Priority 3,119.0322581,10096,325.6774194,2.73604336,80.32258065,0.04195166439,0.03397385103,826.9954391,96.77419355,1200422,93725,11634,10687,0.07807670969,0.1241291011,0.00969159179,63204931,0.092525648,6260.393324,12385062,0.01813048,1226.729596,13717.8859,50048977,0.07326666,4957.307548,125638970,0.183922788,12444.43047,341,0.03377575277,10965,460,325.3176152
CO,1,Priority 4,1023.548387,88870,2866.774194,2.800819414,818.6774194,0.03473154362,0.02923371216,8271.682912,909.0967742,14647741,1317468,101979,93619,0.08994342541,0.07740529561,0.006962097432,675279395,0.174273396,7598.507877,104206377,0.02689316,1172.570913,7053.920907,449647871,0.11604332,5059.613717,1229133643,0.317209878,13830.69251,2530,0.02846854957,95360,3312,461.6369682
CO,1,Priority 5,2138.806452,40206,1296.967742,0.6063979005,723.3225806,0.08442989634,0.03496990499,15324.21439,1719.451613,20707807,1053267,50681,44799,0.05086328069,0.04811790363,0.002447434439,215674995,0.117188992,5364.248993,40089570,0.02178304,997.1041636,8086.353753,202032010,0.10977595,5024.921902,457796575,0.24874798,11386.27506,1356,0.03372630951,45825,3869,312.320815
CO,2,Priority 1,0,0,0,null,0,null,null,0,0,345059,2812,0,0,0.008149330984,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,null
CO,2,Priority 2,593.3103448,230914,7962.551724,13.42055097,578.1724138,0.008790768859,0.02703170877,5160.888573,558.2758621,20554087,1550503,249939,235720,0.07543526502,0.1611986562,0.01216006335,2866749780,0.273773299,12414.79417,400459113,0.03824366,1734.23488,6433.845527,1183881713,0.11306016,5126.937791,4451090606,0.425077127,19275.96684,6204,0.02686714534,239797,2108,1194.588341
CO,2,Priority 3,158.5172414,8503,293.2068966,1.849684577,94.03448276,0.05159283492,0.03128307656,1102.054176,127.5517241,1332713,84397,10143,9117,0.06332721299,0.120181997,0.00761079092,54868933,0.117335653,6452.891097,17304309,0.03700477,2035.082794,10444.96707,42044328,0.0899106,4944.64636,114217570,0.244251026,13432.62025,281,0.03304715983,9323,481,289.9092887
CO,2,Priority 4,1130.965517,83108,2865.793103,2.533934996,895.1034483,0.03185445692,0.02529239062,9197.392423,1015.482759,13917740,906617,94720,87129,0.06514110768,0.1044763114,0.00680570265,595349140,0.165441507,7163.559946,138540086,0.03849889,1666.988569,7122.169863,405816289,0.11277224,4882.999098,1139705515,0.316712639,13713.54761,2193,0.0263873514,88716,2826,424.3472163
CO,2,Priority 5,2405.655172,33479,1154.448276,0.4798893412,720.8275862,0.08430446194,0.03267720063,17357.41206,1957.931034,16717836,728622,41928,37321,0.04358351165,0.05754424105,0.0025079801,169205606,0.114337014,5054.081842,70891266,0.04790323,2117.484572,8016.610054,164646158,0.11125607,4917.893545,404743030,0.273496313,12089.45996,1091,0.03258759222,38100,3212,239.634138
CO,3,Priority 1,0,0,0,null,0,null,null,0,0,408993,3335,0,0,0.008154173788,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,null
CO,3,Priority 2,601.8064516,271115,8745.645161,14.53232204,592.5806452,0.008814527359,0.02866311344,5255.907796,565,24694410,1885366,295234,278403,0.07634788602,0.156592407,0.01195549924,3508495874,0.277514369,12940.98768,478000906,0.03780883,1763.092806,6603.537735,1342360176,0.10617776,4951.257496,5328856956,0.421500959,19655.33798,7590,0.02799550006,282942,2494,1323.671205
CO,3,Priority 3,156,8206,264.7096774,1.696856907,89.19354839,0.05543310558,0.03546185718,1088.439677,125.2903226,1580945,97081,9915,8873,0.06140694332,0.10213121,0.006271565424,58676953,0.168186377,7150.493907,16914099,0.04848106,2061.186815,7137.726054,38926533,0.11157554,4743.667195,114517585,0.328242977,13955.34792,296,0.03607116744,9074,503,326.9117039
CO,3,Priority 4,1181.83871,100767,3250.548387,2.750416246,958.7741935,0.03148180651,0.02891819743,9562.821443,1059.451613,17371048,1137025,115777,106474,0.06545517576,0.1018244981,0.006664940423,794950772,0.176180088,7888.999097,185233124,0.04105209,1838.232001,7331.718856,480806400,0.10655819,4771.466849,1460990296,0.323790363,14498.69795,2960,0.02937469608,108253,3408,474.1394765
CO,3,Priority 5,2296.83871,35825,1155.645161,0.503145979,707.6774194,0.08788217567,0.03547801814,16431.59559,1860.612903,21025616,843528,45272,40383,0.04011906239,0.05366982483,0.002153183051,193132305,0.119218725,5390.992463,74136759,0.04576391,2069.414068,8155.422917,169800735,0.10481637,4739.727425,437069799,0.269799008,12200.13396,1276,0.03561758548,41146,3616,295.2953007
CO,4,Priority 1,129.4,7781,259.3666667,2.004379186,70.06666667,0.03772266853,0.03033029174,968.1468981,101.7,1657987,91599,9106,8359,0.05524711593,0.09941156563,0.005492202291,35191535,0.114327561,4522.752217,45611689,0.14817976,5861.9315,7420.534122,37184844,0.12080327,4778.928672,117988068,0.383310588,15163.61239,254,0.03264361907,8589,324,427.0960845
