country_code,month_,priority,eff_online_rs,complete_orders,daily_orders,orders_per_eff_online,active_rs,b_cancel_rate,bad_rating_rate,daily_online_hours,healthy_stores,exposure_uv,shop_enter_uv,click_pay_user_cnt_app,pay_success_user_cnt_app,b_p1,b_p2,b_p1p2,r_burn,r_burn_gmv,r_burn_per_order,b2c_total_burn,b2c_gmv,b2c_per_order,tri_per_order,total_p2c_burn,p2c_gmv,p2c_burn_per_order,ted,ted_gmv,ted_per_order,imperfect_orders,imperfect_order_rate,pay_order_cnt,b_cancel_order_cnt,exposure_per_eff_online
CR,1,Priority 1,0,0,0,null,0,null,null,0,0,87649,799,0,0,0.009115905487,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,null
CR,1,Priority 2,85.58064516,33105,1067.903226,12.47832642,85.09677419,0.01150030726,0.02066153149,890.7286828,80.32258065,2580757,278722,35754,33607,0.1080000945,0.1282783562,0.0138540746,44313149,0.17017452,1338.563631,8299716,0.03187316,250.7088355,1666.151397,11236175,0.04314996,339.4102099,63849040,0.245197644,1928.682676,692,0.02090318683,34173,393,972.7693178
CR,1,Priority 3,29.67741935,1865,60.16129032,2.027173913,20.35483871,0.04804804805,0.01876675603,243.3958423,26.4516129,219430,19854,2135,1957,0.09047987969,0.1075350055,0.009729754364,2410904,0.156228976,1292.70992,386920,0.0250728,207.463807,1790.378016,663550,0.0429987,355.7908847,3461374,0.224300477,1855.964611,53,0.02841823056,1998,96,238.5108696
CR,1,Priority 4,244.6774194,22884,738.1935484,3.017007251,207.1612903,0.02778808493,0.02735535745,2272.406765,221.516129,3186629,295146,25820,23832,0.09262013243,0.08748212749,0.008102606234,27537098,0.15039744,1203.33412,3109297,0.01698183,135.872094,1742.116938,8554918,0.0467238,373.8384024,39201313,0.214103066,1713.044616,616,0.02691837091,24255,674,420.1224786
CR,1,Priority 5,609.8064516,9039,291.5806452,0.4781527719,185.7741935,0.07748896518,0.03518088284,5221.022204,476.1612903,3865521,219660,11220,10011,0.05682545768,0.05107894018,0.002902584154,6885421,0.086104,761.745879,866938,0.01084129,95.91083084,2102.338312,4146411,0.05185196,458.724527,11898770,0.148797248,1316.381237,324,0.03584467308,10195,790,204.4816441
CR,2,Priority 1,0,0,0,null,0,null,null,0,0,63760,728,0,0,0.01141781681,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,null
CR,2,Priority 2,90.03448276,32047,1105.068966,12.27384144,89.51724138,0.01080475773,0.01959621805,932.603113,85.20689655,2579765,169487,34425,32544,0.06569861984,0.2031129231,0.01334423872,45067381,0.174014916,1406.290168,6254052,0.02414825,195.1524948,1642.922114,11672655,0.04507065,364.2354979,62994088,0.243233813,1965.67816,678,0.0211564265,33041,357,988.0371505
CR,2,Priority 3,28.89655172,1142,39.37931034,1.362768496,18.62068966,0.07643814027,0.02101576182,237.0759674,25.93103448,181025,11041,1413,1243,0.06099157575,0.1279775383,0.007805551719,902218,0.093834201,790.033275,483899,0.05032739,423.7294221,1925.921191,441846,0.04595371,386.9054291,1827963,0.190115302,1600.668126,25,0.02189141856,1269,97,216.0202864
CR,2,Priority 4,259.5862069,20396,703.3103448,2.709351753,217.137931,0.02806985039,0.02368111394,2419.136523,237.3793103,2954333,175348,23018,21236,0.05935282177,0.131270388,0.007791267944,24271802,0.142263409,1190.027554,3246228,0.019027,159.1600314,1788.334919,8016790,0.04698851,393.056972,35534820,0.208278916,1742.244558,513,0.02515199059,21589,606,392.4459352
CR,2,Priority 5,625.5862069,7470,257.5862069,0.4117517363,175.3793103,0.06729039223,0.03480589023,5377.313161,497.8965517,3227860,149419,9190,8208,0.04629042152,0.06150489563,0.002847087544,5086168,0.074437539,680.8792503,1843011,0.026973,246.7216867,2146.168407,3561786,0.05212777,476.8120482,10490965,0.153538305,1404.412985,257,0.0344042838,8337,561,177.9219491
