Country,priority,week,daily_orders,eff_online_days,orders_per_eff_online,orders_per_active,online_hours,daily_exp_uv,total_exp_uv,shop_enter_uv,b_p1,b_p2,b_p1p2,b_cancel_rate,b_bad_rating_rate,shop_star_score,daily_gmv,gmv,r_burn,r_burn_gmv,r_burn_order,b2c_total_burn,b2c_gmv,b2c_per_order,total_p2c_burn,p2c_gmv,p2c_per_order,ted,ted_gmv,ted_order,formula,formula_per_order,tri_per_order,aop,asp,avg_delivery_fee
MX,Priority 1,16,55467,3450,16.08,16.05,27891,3207606,22453239,1802669,8.03%,22.66%,1.82%,0.93%,1.63%,4.4,13679002,95753015.7,16803943,17.55%,43.3,4928477,5.15%,12.7,4315399,4.51%,11.12,26047818,27.20%,67.13,14751001,38.01,50.72,247,180,29.23
MX,Priority 2,16,22067,4283,5.15,5.73,29686.34,1837803,12864624,945738,7.35%,17.57%,1.29%,2.14%,1.77%,4.39,5346681,37426767.7,4922151,13.15%,31.92,1877138,5.02%,12.17,1503622,4.02%,9.75,8302912,22.18%,53.85,6388576,41.43,53.61,243,189,28.08
MX,Priority 3,16,733,730,1,2.3,5646.84,168945,1182613,60582,5.12%,9.31%,0.48%,3.54%,2.24%,4.24,206480,1445359.5,145190,10.05%,28.32,51107,3.54%,9.97,55830,3.86%,10.89,252127,17.44%,49.18,280721,54.75,64.72,282,233,30.14
MX,Priority 4,16,23131,8414,2.75,3.41,62478.75,3252950,22770648,1380020,6.06%,12.77%,0.77%,2.81%,1.78%,4.37,5888559,41219910.4,4414535,10.71%,27.29,310989,0.76%,1.92,1647607,4.00%,10.18,6373131,15.46%,39.39,9065438,56.04,57.98,255,215,30.05
MX,Priority 5,16,5569,8424,0.66,1.89,58969.13,3114418,21800927,646494,2.97%,7.02%,0.21%,6.97%,2.27%,4.32,1379498,9656484.8,804446,8.33%,20.66,117027,1.23%,3.01,408667,4.23%,10.5,1330139,13.77%,34.16,2161437,55.52,58.56,248,214,29.27
MX,,16,1778,662,2.68,4.36,4641.28,334364,2340545,110649,4.73%,12.13%,0.57%,2.57%,2.30%,4.45,453516,3174613.4,192844,6.07%,15.5,621698,19.61%,49.98,143513,4.52%,11.54,958056,30.18%,77.03,157654,12.68,62.72,255,178,30.31
CO,Priority 3,16,173,190,0.91,1.98,1473.28,49407,345852,21059,6.09%,6.68%,0.41%,3.99%,3.06%,4.15,9087738,63614166,11148149,17.52%,9205.74,4774786,7.51%,3942.85,5936305,9.33%,4901.99,21859240,34.36%,18050.57,5615689,4637.23,8580.08,52530,34480,6412.72
CO,Priority 4,16,1505,773,1.95,2.94,6235,326003,2282024,147078,6.45%,8.36%,0.54%,3.60%,3.36%,4.2,65253999,456777992,85278399,18.67%,8111.71,6956474,1.63%,661.7,52474511,11.49%,4991.39,144709384,31.68%,13764.8,65615644,6241.38,6950.05,43449,29684,6061.21
CO,Priority 1,16,6756,335,20.18,20.23,2990.42,522731,3659119,317446,8.68%,16.27%,1.41%,0.59%,3.07%,4.2,317755409,2224287864,632401014,28.43%,13413.1,106069095,4.78%,2249.71,233412452,10.49%,4950.63,971882561,43.69%,20613.44,203065034,4306.97,6561.58,47177,26563,6230.33
CO,,16,385,175,2.2,3.77,1299.83,75598,529185,31268,5.91%,10.02%,0.59%,3.26%,3.15%,4.4,15720396,110042770,10915451,9.92%,4050.26,17722038,16.14%,6575.9,13813793,12.55%,5125.71,42451282,38.58%,15751.87,3282472,1217.99,7808.05,40832,25080,6148.39
CO,Priority 2,16,4579,1010,4.53,5.4,7995.68,563872,3947106,299751,7.59%,11.98%,0.91%,2.19%,3.00%,4.27,206089697,1442627882,319953653,22.18%,9982.95,60189992,4.18%,1878,157576736,10.92%,4916.59,537720381,37.27%,16777.55,157907759,4926.92,6806.24,45012,28234,6116.19
CO,Priority 5,16,1015,1863,0.55,1.84,13396.23,578100,4046703,160528,3.97%,5.61%,0.22%,7.41%,3.57%,4.2,43749716,306248010,45927195,15.00%,6461.34,4253480,1.40%,598.41,36249783,11.84%,5099.86,86430458,28.22%,12159.6,48384962,6807.11,7411.41,43085,30925,6080.97
CR,Priority 1,16,1225,74,16.66,16.69,778.61,66252,463766,37795,8.15%,24.15%,1.97%,0.69%,2.19%,4.23,10137331,70961315,14390713,20.28%,1677.63,3029168,4.27%,353.13,3169005,4.47%,369.43,20588886,29.01%,2400.2,10410343,1213.61,1566.74,8272,5872,1192.75
CR,Priority 3,16,13,9,1.49,2.46,82.72,1771,12396,844,6.81%,11.85%,0.81%,4.08%,1.10%,4.4,137293,961048,165776,17.25%,1821.71,66406,6.91%,729.74,62779,6.53%,689.88,294961,30.69%,3241.33,124800,1371.43,2101.16,10561,7320,1360.15
CR,Priority 4,16,289,159,1.82,2.5,1505.01,48527,339688,20131,5.93%,11.40%,0.68%,2.51%,1.88%,4.41,2478762,17351331,2012667,11.60%,995.88,186151,1.07%,92.11,787968,4.54%,389.89,2986786,17.21%,1477.88,3685645,1823.67,1915.78,8586,7108,1205.08
CR,Priority 2,16,556,176,3.16,3.77,1576.06,58095,406665,28058,6.90%,15.33%,1.06%,2.79%,2.44%,4.27,4697930,32885508,5297024,16.11%,1361.7,770705,2.34%,198.12,1514388,4.61%,389.3,7582117,23.06%,1949.13,6091450,1565.93,1764.05,8454,6505,1182.31
CR,,16,29,16,1.84,3.26,127.02,6119,42830,1722,4.02%,12.89%,0.52%,4.13%,3.47%,4.21,229041,1603288,22640,1.41%,112.08,447684,27.92%,2216.26,104518,6.52%,517.42,574842,35.85%,2845.75,-48114,-238.19,1978.07,7937,5091,1163.95
CR,Priority 5,16,208,542,0.38,1.43,4558.64,106148,743035,30133,4.06%,5.88%,0.24%,8.00%,3.85%,3.93,1906242,13343693,1209802,9.07%,832.05,84831,0.77%,58.34,755959,5.67%,519.92,2050592,15.37%,1410.31,2952757,2030.78,2101.44,9177,7767,1247.94
PE,Priority 1,16,1067,106,10.08,10.44,1021.3,61800,432601,40606,9.39%,19.48%,1.83%,0.67%,2.06%,4.16,43867,307071.8,93510,30.45%,12.51,21609,7.36%,2.89,16256,5.29%,2.18,131375,42.78%,17.58,31683,4.24,7.26,41,24,4.47
