country_code,month_,priority,eff_online_rs,complete_orders,daily_orders,orders_per_eff_online,active_rs,b_cancel_rate,bad_rating_rate,daily_online_hours,healthy_stores,exposure_uv,shop_enter_uv,click_pay_user_cnt_app,pay_success_user_cnt_app,b_p1,b_p2,b_p1p2,r_burn,r_burn_gmv,r_burn_per_order,b2c_total_burn,b2c_gmv,b2c_per_order,tri_per_order,total_p2c_burn,p2c_gmv,p2c_burn_per_order,ted,ted_gmv,ted_per_order,imperfect_orders,imperfect_order_rate,pay_order_cnt,b_cancel_order_cnt,exposure_per_eff_online
PE,1,Priority 1,0,0,0,null,0,null,null,0,0,152045,1331,0,0,0.008753987306,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,null
PE,1,Priority 2,68.58064516,34004,1096.903226,15.9943556,66.96774194,0.007609222263,0.02208563698,661.9218638,62.38709677,2392735,302775,36196,34458,0.126539295,0.1195475188,0.01512745874,437236.79,0.296377398,12.85839284,126491.37,0.08574115,3.719896777,8.053942183,121892.48,0.08262382,3.584651218,685620.64,0.464742368,20.16294083,795,0.0233796024,35089,267,1125.463311
PE,1,Priority 3,118.483871,7689,248.0322581,2.093384155,79,0.0426300578,0.03797632982,749.2794624,87.93548387,1118662,113581,9194,8116,0.1015329027,0.0809466372,0.008218747039,71837.18,0.22048413,9.342850826,27666.04,0.08491317,3.598132397,8.885874626,37444.72,0.11492609,4.86990766,136947.94,0.420323395,17.81089088,271,0.03524515542,8304,354,304.563572
PE,1,Priority 4,236.2258065,25947,837,3.543219992,192.1612903,0.01742597652,0.0278259529,1974.739462,201.8387097,3562397,364829,28654,26697,0.1024111013,0.07854090547,0.008043460625,281808.96,0.239589581,10.86094577,83019.5,0.07058188,3.199579913,8.886907928,118713.1,0.10092803,4.575214861,483541.56,0.411099491,18.63574055,668,0.02574478745,27086,472,486.4668852
PE,1,Priority 5,1105.354839,14357,463.1290323,0.4189867507,295.8709677,0.0653455412,0.03315455875,8111.582151,794.516129,7507012,469190,17438,15569,0.06250023312,0.03716618001,0.002322894915,81152.79,0.137632842,5.652489378,28646.27,0.04858327,1.995282441,9.258578394,67293.24,0.11412744,4.687137981,177092.3,0.300343545,12.3349098,428,0.0298112419,15946,1042,219.0804879
PE,2,Priority 1,0,0,0,null,0,null,null,0,0,139897,1105,0,0,0.007898668306,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,null
PE,2,Priority 2,69.27586207,24930,859.6551724,12.40915879,68.4137931,0.008611994724,0.02085840353,670.8327395,64.06896552,1534395,136188,26375,25264,0.08875680643,0.1936661086,0.01718918531,294596.79,0.290562083,11.81695909,67085.3,0.06616652,2.690946651,7.44667509,72801.87,0.0718048,2.920251504,434483.96,0.428533401,17.42815724,534,0.02141997593,25778,222,763.7605774
PE,2,Priority 3,110.5172414,4704,162.2068966,1.467706708,70.82758621,0.05866615708,0.03210034014,691.2983142,82.51724138,765458,58478,5794,5124,0.07639609227,0.0990799959,0.007569324509,37056.71,0.192425479,7.877701956,12600.43,0.06543063,2.67866284,8.647778486,19789.34,0.10276069,4.206917517,69446.48,0.360616801,14.76328231,143,0.03039965986,5233,307,238.8324493
PE,2,Priority 4,254.862069,21393,737.6896552,2.894466243,208.7241379,0.02143617966,0.02832702286,2106.34046,218.9655172,2977419,206584,23890,22137,0.06938358357,0.1156430314,0.008023727933,215996.72,0.233302223,10.0966073,53639.99,0.05793759,2.507361754,8.445656991,82846.04,0.08948361,3.872577011,352482.75,0.380723416,16.47654607,567,0.02650399663,22532,483,402.8438642
PE,2,Priority 5,1118.37931,14091,485.8965517,0.4344648969,316.1034483,0.06742356971,0.03378042722,8191.498132,805.2758621,8494213,349966,17206,15451,0.04120052087,0.04916477601,0.00202561438,62791.98,0.111906338,4.456176283,41506.16,0.07397127,2.945579448,9.171494571,59707.18,0.10640868,4.237256405,164005.32,0.292286288,11.63901214,459,0.03257398339,15766,1063,261.9003176
