country_code,month_,priority,eff_online_rs,complete_orders,daily_orders,orders_per_eff_online,active_rs,b_cancel_rate,bad_rating_rate,daily_online_hours,healthy_stores,exposure_uv,shop_enter_uv,click_pay_user_cnt_app,pay_success_user_cnt_app,b_p1,b_p2,b_p1p2,r_burn,r_burn_gmv,r_burn_per_order,b2c_total_burn,b2c_gmv,b2c_per_order,tri_per_order,total_p2c_burn,p2c_gmv,p2c_burn_per_order,ted,ted_gmv,ted_per_order,imperfect_orders,imperfect_order_rate,pay_order_cnt,b_cancel_order_cnt,exposure_per_eff_online
CO,1,,93.12903225806451,32963,1063.3225806451612,11.417734672670592,85.80645161290323,0.013295787731877957,0.04866061948245002,875.1464874551968,85.35483870967742,4106297,398525,36161,34006,0.09705216159474095,0.09073709303055015,0.008806231015437998,562192519,0.329011993758106457618,17055.25950307921002336,68110485,0.03986030711604258026,2066.27081879683281255,6454.681521706155386342,166698288,0.09755685861579924831,5057.1333919849528259,797001292,0.466429159489948286193,24178.663713860995661803,1508,0.04574826320419865,34447,458,1422.3404918600625
CO,1,New Rs,259.03225806451616,12116,390.83870967741933,1.5088418430884185,113.25806451612904,0.04225352112676056,0.04291845493562232,1833.3023118279589,201.4516129032258,2326943,178573,13700,12771,0.07674145864337889,0.07671932486994114,0.005887552896654538,76729850,0.152214136289169812103,6332.935787388577088148,45330114,0.08992437950028058895,3741.34318256850445692,7123.877599867943215583,68327436,0.13554570555779175679,5639.43842852426543414,190387400,0.37768422134724215784,15713.717398481346979201,492,0.040607461208319574,13135,555,289.781195516812
CO,1,Priority 1,385.06451612903226,180780,5831.612903225807,15.144508670520231,368.16129032258067,0.009670788467478247,0.027973227126894568,3367.401003584227,354.16129032258067,14501732,1697209,196141,184582,0.11703491693268087,0.11556679230430666,0.013525349937510912,2420905121,0.289453047231898876736,13391.443306781723641996,337072501,0.04030172917814538398,1864.54530921562119704,6456.654264852306671092,958378119,0.11458750057513113183,5301.35036508463325589,3716355741,0.444342276985175392542,20557.338981081978094922,4998,0.02764686359110521,187782,1816,1214.8556588757644
CO,1,Priority 2,650.6129032258065,89974,2902.3870967741937,4.461004511874659,563.6451612903226,0.025857552961884207,0.024440393891568674,4998.117419354851,579.4193548387096,9952184,1016202,100264,93671,0.10210844172495204,0.0986654228194788,0.010074572576230503,727823328,0.184643757417677099124,8089.262764798719630115,107522662,0.02727775760332717386,1195.04147864938760086,7045.854324582657212083,464232782,0.11777265427928324895,5159.63258274612665881,1299578772,0.329694169300287521935,14443.93682619423388979,2241,0.024907195412007914,95446,2468,493.43963508354403
CO,1,Priority 3,214.58064516129033,7444,240.1290322580645,1.1190619362597716,106.25806451612904,0.04225878833208676,0.029285330467490597,1744.0361200716827,188.51612903225808,2281931,165738,8663,7896,0.07263059224840716,0.05226924422884311,0.0037963461647175134,54166629,0.15512828994396819549,7276.54876410531972058,9555671,0.02736657105793252356,1283.67423428264373992,7926.966012896292315959,36174593,0.10360073822406489938,4859.5638097796883396,99896893,0.28609559922596561843,13419.786808167651800107,229,0.03076303062869425,8022,339,343.04434756464224
CO,1,Priority 4,496.38709677419354,32332,1042.967741935484,2.1011177540940995,362.8709677419355,0.04053552567725729,0.03266114066559446,4096.493127240142,437.64516129032256,7237759,605914,38122,34414,0.0837156915559084,0.06291651950606852,0.005267099940741326,226356144,0.160204846802485779219,7000.994185327229988866,27245599,0.01928322746935006873,842.68214153160955091,7261.571631819868860572,160986852,0.11393935903888896151,4979.18013113942843004,414588595,0.293427433310724809457,12822.856457998267969813,998,0.030867252257825065,35031,1420,470.3508578112815
CO,1,Priority 5,1786.0967741935483,37734,1217.225806451613,0.6815004786071629,608.5483870967741,0.07961365341335334,0.03363014787724598,12721.977204301067,1437.0,18190150,894946,47486,41735,0.04919948433630289,0.053060184636838426,0.0026105337229214713,203164901,0.111111659169499541829,5384.133699051253511422,25046230,0.013697878706129926,663.75761912333704352,8983.171198388721047331,188031491,0.10283513952601891886,4983.07868235543541634,416242622,0.227644677401648386689,11030.970000530025971273,1235,0.03272910372608258,42656,3396,328.5258899384132
CO,2,,16.06896551724138,2556,88.13793103448276,5.484978540772532,11.758620689655173,0.018263138278046962,0.03873239436619718,156.97348659003836,14.862068965517242,724350,22458,2813,2639,0.0310043487264444,0.12525603348472705,0.003883481742251674,33290877,0.276215520588445526304,13024.599765258215962441,4107063,0.03407643915882849372,1606.83215962441314554,5921.00352112676056338,12368474,0.10262164270393517096,4838.99608763693270736,49766414,0.412913602451209190989,19470.428012519561815336,100,0.03912363067292645,2683,49,1554.3991416309013
CO,2,New Rs,342.0,13596,468.82758620689657,1.3708408953418028,154.0,0.0416159155501421,0.038393645189761696,2496.231867816094,274.6896551724138,2490747,166093,15429,14446,0.06668401086099873,0.09289374025395411,0.00619452718401347,99493615,0.175784874933022768841,7317.859296852015298617,52864869,0.09340141460852168703,3888.26632833186231244,7049.752427184466019417,71695736,0.12667170638026388042,5273.29626360694321859,224054220,0.395857995921808336292,16479.421888790820829656,532,0.03912915563401,14778,615,251.13399879007864
CO,2,Priority 1,414.3103448275862,183160,6315.862068965517,15.244277985851019,395.55172413793105,0.007590362715042718,0.026992793186285214,3697.0612931034407,390.2068965517241,15533666,1176763,197936,186655,0.07575565227165307,0.16820379294726295,0.012742388049285984,2428747825,0.289733352500617934543,13260.252374972701463202,324040420,0.03865585231447743479,1769.16586590958724612,6355.093639440925966368,937848822,0.11187908458006144964,5120.38011574579602533,3690637067,0.440268289395156818979,20149.798356628084734658,4843,0.026441362742956977,189846,1441,1292.8560965459842
CO,2,Priority 2,728.2413793103449,88464,3050.4827586206898,4.188834698612624,626.4137931034483,0.024058029848195113,0.02338804485440405,5651.350804597695,655.1379310344828,10537892,763363,98187,91862,0.07243982003231766,0.12862425870784935,0.009317518152586874,708661213,0.183047335671975973025,8010.729935340929643697,136893898,0.03535972173864585462,1547.4531786941580756,7022.162789383251944294,441985035,0.11416482457271871172,4996.21354449267498644,1287540146,0.332571881983340539362,14554.396658527762705733,2234,0.025253210345451256,93607,2252,498.97684549457836
