country_code,month_,priority,eff_online_rs,complete_orders,daily_orders,orders_per_eff_online,active_rs,b_cancel_rate,bad_rating_rate,daily_online_hours,healthy_stores,exposure_uv,shop_enter_uv,click_pay_user_cnt_app,pay_success_user_cnt_app,b_p1,b_p2,b_p1p2,r_burn,r_burn_gmv,r_burn_per_order,b2c_total_burn,b2c_gmv,b2c_per_order,tri_per_order,total_p2c_burn,p2c_gmv,p2c_burn_per_order,ted,ted_gmv,ted_per_order,imperfect_orders,imperfect_order_rate,pay_order_cnt,b_cancel_order_cnt,exposure_per_eff_online
CR,1,Priority 5,609.8064516129032,9039,291.5806451612903,0.4781527719001269,185.7741935483871,0.0774889651790093,0.0351808828410222,5221.022204301075,476.1612903225807,3866552,219669,11220,10011,0.0568126330642908,0.0510768474386463,0.0029018101916125,6885421.0,0.086104,761.7458789689125,866938.0,0.01084129,95.91083084412,2102.33831176015,4146411.0,0.05185196,458.724527049452,11898770.0,0.148797248,1316.381236862485,324.0,0.0358446730833056,10195,790,204.53618281845112
CR,2,Priority 5,625.5862068965517,7470,257.58620689655174,0.4117517363025025,175.3793103448276,0.0672903922274199,0.0348058902275769,5377.313160919542,497.8965517241379,3228477,149434,9190,8208,0.046286221026199,0.0614987218437571,0.0028465434320888,5086168.0,0.074437539,680.879250334672,1843011.0,0.026973,246.721686746988,2146.168406961178,3561786.0,0.05212777,476.812048192771,10490965.0,0.153538305,1404.412985274431,257.0,0.0344042838018741,8337,561,177.9559585492228
CR,3,Priority 5,585.3548387096774,7904,254.96774193548387,0.435578088835005,172.03225806451613,0.078506354740749,0.03125,4998.759623655914,460.3225806451613,4420164,171123,9682,8731,0.0387141744061985,0.0565791857319004,0.0021904164641854,5471740.0,0.074338362,692.2747975708502,1980458.0,0.02690625,250.564018218623,2185.3256578947367,3527652.0,0.04792623,446.312246963563,10979850.0,0.149170841,1389.1510627530365,249.0,0.0315030364372469,8891,698,243.58889011352363
CR,4,Priority 5,579.7,5889,196.3,0.3386234259099534,147.43333333333334,0.0783361165932898,0.0281881473934454,4950.556731481482,460.8333333333333,3441365,137615,7234,6473,0.0399884929381219,0.0525669440104639,0.002102072869341,3650290.0,0.067790878,619.8488707760231,338306.0,0.00628281,57.447104771608,2154.9380200373575,2803537.0,0.05206552,476.063338427577,6792133.0,0.1261392,1153.359313975208,174.0,0.0295466123280692,6587,516,197.8819504341326
CR,5,Priority 5,568.6129032258065,6057,195.38709677419357,0.34362058206161,142.29032258064515,0.0767424798239178,0.0242694403169886,4934.483225806451,448.2258064516129,3324542,138360,7492,6684,0.0416177626873115,0.0541485978606533,0.0022535434956153,4302513.0,0.078490118,710.3372956909361,215843.0,0.00393759,35.635298002311,2097.930493643718,3026525.0,0.05521246,499.673930988938,7544881.0,0.137640166,1245.646524682186,181.0,0.0298827802542512,6815,523,188.60509445736653
CR,6,Priority 5,547.9333333333333,6470,215.66666666666663,0.3936001946708845,149.76666666666668,0.0760321569696143,0.0302936630602782,4749.0915,434.6,3794150,153241,8058,7186,0.0403887563749456,0.0525838385288532,0.0021237958436013,5636989.0,0.093483302,871.250231839258,645006.0,0.01069672,99.691808346213,2120.891808346213,3560981.0,0.05905498,550.383462132921,9842976.0,0.163235,1521.3255023183926,193.0,0.0298299845440494,7339,558,230.815792675508
CR,1,Priority 4,244.67741935483872,22884,738.1935483870968,3.0170072511535926,207.16129032258064,0.027788084930942,0.0273553574549903,2272.406765232975,221.51612903225808,3186629,295146,25820,23832,0.0926201324346197,0.0874821274894459,0.0081026062337347,27537098.0,0.15039744,1203.334119909107,3109297.0,0.01698183,135.872094039504,1742.116937598322,8554918.0,0.0467238,373.838402377207,39201313.0,0.214103066,1713.0446163258173,616.0,0.0269183709141758,24255,674,420.1224785761371
CR,2,Priority 4,259.58620689655174,20396,703.3103448275862,2.7093517534537725,217.1379310344828,0.028069850386771,0.0236811139439105,2419.136522988505,237.3793103448276,2954333,175348,23018,21236,0.0593528217705993,0.1312703880283778,0.0077912679444057,24271802.0,0.142263409,1190.0275544224357,3246228.0,0.019027,159.160031378702,1788.3349186114924,8016790.0,0.04698851,393.056971955285,35534820.0,0.208278916,1742.2445577564229,513.0,0.0251519905863894,21589,606,392.44593517534537
CR,3,Priority 4,251.29032258064515,20915,674.6774193548387,2.684852374839538,209.1935483870968,0.0269684239056782,0.0252928520200812,2321.32729390681,226.2258064516129,3117572,185664,23720,21787,0.0595540375651308,0.1277576697690451,0.0076084850646592,25115189.0,0.140940647,1200.8218503466412,4103044.0,0.02302534,196.177097776715,1823.29304327038,7818269.0,0.04387432,373.811570643079,37036502.0,0.207840306,1770.8105187664355,524.0,0.0250537891465455,22137,597,400.2017971758665
CR,4,Priority 4,268.9,20247,674.9,2.509854964670881,229.3,0.0259387583107032,0.0235096557514693,2491.3323240740738,242.46666666666667,2691476,172270,22710,21010,0.0640057722974308,0.1318279445057177,0.0084377493984713,25924539.0,0.15154464,1280.4138390872722,3435673.0,0.02008359,169.688003160962,1781.395416604929,7521595.0,0.04396828,371.491825949523,36881807.0,0.215596512,1821.5936681977576,511.0,0.0252383069096656,21358,554,333.6402627990579
CR,5,Priority 4,268.96774193548384,20726,668.5806451612904,2.4857279923242985,223.83870967741936,0.0243957944563287,0.0251857570201679,2514.0058333333336,245.74193548387095,2869903,186240,23381,21609,0.0648941793503125,0.1255423109965635,0.0081469652458637,26930515.0,0.154169106,1299.3590176589792,3839352.0,0.02197914,185.243269323555,1763.3699218373058,8608184.0,0.04927927,415.332625687542,39378051.0,0.225427509,1899.934912670076,517.0,0.0249445141368329,21971,536,344.19561045814345
CR,6,Priority 4,258.3333333333333,20147,671.5666666666667,2.599612903225806,210.4333333333333,0.0236847032390938,0.0238745222613788,2409.46250925926,233.4333333333333,2850107,185102,22819,21036,0.064945631865751,0.123277976467029,0.0080063660767823,26479824.0,0.157423712,1314.330868119323,3097258.0,0.01841333,153.732962723979,1728.9022186926093,9329350.0,0.05546339,463.063979748846,38906432.0,0.23130044,1931.127810592148,483.0,0.023973792624212,21364,506,367.7557419354839
CR,1,Priority 3,29.677419354838708,1865,60.16129032258065,2.027173913043478,20.35483870967742,0.048048048048048,0.0187667560321715,243.39584229390684,26.451612903225808,218399,19845,2135,1957,0.0908658006675854,0.1075837742504409,0.009775685786107,2410904.0,0.156228976,1292.7099195710457,386920.0,0.0250728,207.463806970509,1790.3780160857907,663550.0,0.0429987,355.790884718499,3461374.0,0.224300477,1855.9646112600535,53.0,0.0284182305630026,1998,96,237.3902173913044
