country_code,month_,priority,eff_online_rs,complete_orders,daily_orders,orders_per_eff_online,active_rs,b_cancel_rate,bad_rating_rate,daily_online_hours,healthy_stores,exposure_uv,shop_enter_uv,click_pay_user_cnt_app,pay_success_user_cnt_app,b_p1,b_p2,b_p1p2,r_burn,r_burn_gmv,r_burn_per_order,b2c_total_burn,b2c_gmv,b2c_per_order,tri_per_order,total_p2c_burn,p2c_gmv,p2c_burn_per_order,ted,ted_gmv,ted_per_order,imperfect_orders,imperfect_order_rate,pay_order_cnt,b_cancel_order_cnt,exposure_per_eff_online
PE,1,Priority 5,1105.354838709677,14357,463.1290322580645,0.4189867507149944,295.8709677419355,0.0653455412015552,0.0331545587518283,8111.582150537635,794.516129032258,7508035,469193,17438,15569,0.0624921167788908,0.0371659423733943,0.0023225784109956,81152.79,0.137632842,5.6524893780038,28646.27,0.04858327,1.995282440621,9.2585783938149,67293.24,0.11412744,4.687137981472,177092.3,0.300343545,12.3349098000975,428.0,0.0298112419029045,15946,1042,219.11034261366956
PE,2,Priority 5,1118.3793103448277,14091,485.8965517241379,0.4344648968643049,316.1034482758621,0.0674235697069643,0.0337804272230501,8191.498132183907,805.2758620689655,8495816,349971,17206,15451,0.0411933356372124,0.0491640735946692,0.0020252321848778,62791.98,0.111906338,4.4561762827337,41506.16,0.07397127,2.945579447875,9.1714945710028,59707.18,0.10640868,4.237256404797,164005.32,0.292286288,11.6390121354056,459.0,0.0325739833936555,15766,1063,261.9497425461721
PE,3,Priority 5,1056.451612903226,13008,419.61290322580646,0.3971908396946564,288.7741935483871,0.0629921259842519,0.0351322263222632,7785.554838709678,767.0645161290323,8752057,344590,15746,14182,0.039372458383212,0.0456948837749209,0.0017991199097537,59650.64,0.112222895,4.5856888068881,36129.5,0.06797173,2.777483087331,9.3525907134071,46222.3,0.08695968,3.553374846248,142002.44,0.267154299,10.9165467404674,420.0,0.0322878228782287,14478,912,267.2383816793893
PE,4,Priority 5,968.3666666666668,8068,268.93333333333334,0.277718495060411,207.4,0.0590189347802015,0.0292513634110064,7136.166731481482,704.6333333333333,6025491,230014,9895,8853,0.0381734866088091,0.0430191205752693,0.0016421898232027,33504.97,0.108700598,4.1528222607833,6295.7,0.02042522,0.780329697571,8.6939476945959,26625.78,0.08638235,3.300171046108,66426.45,0.215508171,8.2333230044621,226.0,0.0280118988596926,9031,533,207.4107948091288
PE,5,Priority 5,866.1935483870968,8391,270.6774193548387,0.3124906897065395,193.6129032258065,0.0615675562092876,0.0324156834703849,6424.739068100358,639.1290322580645,4885561,209553,10406,9307,0.0428923106271726,0.0496580817263413,0.0021299498665557,40999.05,0.122654342,4.8860743653915,12449.67,0.03724491,1.48369324276,8.9218412584912,31842.06,0.09525994,3.794787272077,85290.78,0.255159193,10.1645548802288,222.0,0.0264569181265641,9518,586,181.94402651571576
PE,6,Priority 5,797.6666666666666,9063,302.1,0.3787296280819056,196.2,0.0502463054187192,0.0308948471808451,5975.1854722222215,591.5,4879475,209112,11235,9949,0.0428554301436117,0.0537271892574314,0.0023025018060344,47378.09,0.132926456,5.2276387509655,8609.86,0.02415628,0.950001103387,8.7122453933576,35315.54,0.09908313,3.896672183604,91303.49,0.256165863,10.0743120379565,269.0,0.0296811210415977,10150,510,203.90618470539076
PE,1,Priority 4,236.2258064516129,25947,837.0,3.5432199918066365,192.16129032258064,0.017425976519235,0.0278259529039966,1974.7394623655916,201.83870967741936,3562397,364829,28654,26697,0.1024111012893846,0.0785409054653001,0.0080434606249668,281808.96,0.239589581,10.8609457740779,83019.5,0.07058188,3.199579912899,8.8869079276988,118713.1,0.10092803,4.575214861063,483541.56,0.411099491,18.6357405480402,668.0,0.0257447874513431,27086,472,486.4668851563567
PE,2,Priority 4,254.86206896551724,21393,737.6896551724138,2.894466242727641,208.72413793103448,0.0214361796556009,0.0283270228579441,2106.340459770115,218.9655172413793,2977419,206584,23890,22137,0.0693835835668409,0.1156430314061108,0.0080237279334887,215996.72,0.233302223,10.0966073014537,53639.99,0.05793759,2.507361753845,8.4456569906044,82846.04,0.08948361,3.872577011172,352482.75,0.380723416,16.4765460664703,567.0,0.0265039966344131,22532,483,402.84386415911246
PE,3,Priority 4,271.61290322580646,23085,744.6774193548387,2.741686460807601,220.96774193548387,0.0262417994376757,0.030366038553173,2237.386801075268,228.80645161290323,3189727,224573,26046,24112,0.0704050848238736,0.1159801044649178,0.0081655890927342,241952.83,0.236081689,10.4809542993286,66770.94,0.0651507,2.892395061728,8.5807823261858,75491.48,0.07365963,3.270152913147,384215.25,0.374892019,16.643502274204,711.0,0.0307992202729044,24541,644,378.8274346793349
PE,4,Priority 4,285.5,21556,718.5333333333333,2.516754232340922,240.96666666666667,0.0256566095072715,0.0289478567452217,2369.8624166666664,244.5,2692151,198391,24418,22591,0.073692374610488,0.1230801800484901,0.0090700707352596,221288.86,0.240992438,10.265766375951,46752.51,0.05091536,2.168886156986,8.1076637595101,65231.89,0.07104014,3.026159305994,333273.26,0.362947938,15.4608118389312,618.0,0.0286695119688253,23035,591,314.32002335084644
PE,5,Priority 4,277.1290322580645,22913,739.1290322580645,2.6670934699103714,224.96774193548387,0.0259524002924214,0.0277571684196744,2305.666774193549,236.1935483870968,2763034,206675,26191,24119,0.0748000205571122,0.1267255352606749,0.0094790726426095,237811.02,0.2456363,10.3788687644569,42354.57,0.04374827,1.84849517741,7.9981080609261,81822.85,0.08451527,3.571023000044,361988.44,0.373899834,15.7983869419107,626.0,0.0273207349539562,24622,639,321.6196019089745
PE,6,Priority 4,266.6666666666667,24589,819.6333333333333,3.073625,219.1,0.0247524752475247,0.0295253975354833,2227.475462962963,227.86666666666667,2879150,215583,28195,25974,0.0748773075386833,0.1307848949128641,0.0097928207978049,279638.77,0.261465383,11.3725149457074,49949.24,0.0467031,2.031365244622,8.0369067469194,87227.24,0.08155845,3.547409004026,416815.25,0.389726929,16.9512891943552,680.0,0.0276546423197364,26462,655,359.89375
PE,1,Priority 3,118.48387096774194,7689,248.03225806451613,2.0933841546419822,79.0,0.0426300578034682,0.0379763298218233,749.2794623655913,87.93548387096774,1117639,113578,9194,8116,0.1016231538090564,0.0809487752909894,0.0082262698420509,71837.18,0.22048413,9.3428508258551,27666.04,0.08491317,3.598132396931,8.8858746260892,37444.72,0.11492609,4.869907660294,136947.94,0.420323395,17.8108908830797,271.0,0.0352451554168292,8304,354,304.28505309011706
PE,2,Priority 3,110.51724137931036,4704,162.20689655172413,1.4677067082683308,70.82758620689656,0.0586661570800687,0.0321003401360544,691.2983141762453,82.51724137931035,763855,58473,5794,5124,0.0765498687578139,0.0990884681818959,0.0075852092347369,37056.71,0.192425479,7.8777019557823,12600.43,0.06543063,2.678662840136,8.6477784863946,19789.34,0.10276069,4.206917517007,69446.48,0.360616801,14.7632823129252,143.0,0.0303996598639455,5233,307,238.33229329173167
PE,3,Priority 3,103.03225806451611,4184,134.96774193548387,1.3099561678146523,62.54838709677419,0.0540948275862068,0.032982791586998,638.1753673835125,75.87096774193549,695235,52789,5172,4552,0.0759297216049249,0.0979749569039004,0.0074392112019676,33753.09,0.186527627,8.0671821223709,12643.6,0.06987155,3.02189292543,9.1563647227533,15122.07,0.08356817,3.614261472275,61518.76,0.339967343,14.7033365200765,135.0,0.032265774378585,4640,251,217.66906700062617
PE,4,Priority 3,97.6,1957,65.23333333333333,0.6683743169398907,43.6,0.0620503597122302,0.0260602963719979,611.2500370370368,74.0,500938,34879,2589,2180,0.0696273790369267,0.0742280455288282,0.0051683042612059,13007.45,0.165001508,6.6466274910577,2642.74,0.03352356,1.350403679101,8.656366888094,6930.6,0.08791573,3.541440981094,22580.79,0.286440801,11.5384721512519,58.0,0.0296371997956055,2224,138,171.08538251366122
