country_code,month_,priority,eff_online_rs,complete_orders,daily_orders,orders_per_eff_online,active_rs,b_cancel_rate,bad_rating_rate,daily_online_hours,healthy_stores,exposure_uv,shop_enter_uv,click_pay_user_cnt_app,pay_success_user_cnt_app,b_p1,b_p2,b_p1p2,r_burn,r_burn_gmv,r_burn_per_order,b2c_total_burn,b2c_gmv,b2c_per_order,tri_per_order,total_p2c_burn,p2c_gmv,p2c_burn_per_order,ted,ted_gmv,ted_per_order,imperfect_orders,imperfect_order_rate,pay_order_cnt,b_cancel_order_cnt,exposure_per_eff_online
CO,1,Priority 5,1548.36,23089,923.56,0.5964762716680875,502.96,0.0818735575649805,0.0317034085495257,11002.268311111113,1230.52,11726777,529632,29386,25906,0.0451643277603044,0.0554838076249169,0.0025058888729614,114424140.0,0.100093437,4955.785872060288,14066175.0,0.0123045,609.215427259734,9393.050933344883,120343630.0,0.10527156,5212.162934730824,248833945.0,0.217669496,10777.164234050846,704.0,0.0304907098618389,26431,2164,302.94704073987964
CO,2,Priority 5,2060.793103448276,30542,1053.1724137931035,0.5110519886886535,605.2413793103449,0.0791333565056192,0.0288127823980092,14757.734693486593,1677.1724137931035,14233332,604796,37762,33849,0.0424915262287144,0.0624375822591419,0.0026530681642218,180860639.0,0.134557196,5921.702540763538,52535817.0,0.03908574,1720.117117412088,7799.930882064043,150444988.0,0.11192848,4925.839434221727,383841444.0,0.285571414,12567.659092397354,905.0,0.0296313273524982,34524,2732,238.16294362732796
CO,3,Priority 5,1818.645161290323,29929,965.451612903226,0.530863102628685,544.8709677419355,0.0842832570478994,0.0319088509472418,12940.157840501794,1469.354838709677,17868238,673874,37594,33667,0.0377135115393023,0.0557878772589534,0.0021039567527587,209456847.0,0.153950132,6998.4579170704,46021639.0,0.03382576,1537.693842092953,7839.560092218251,148104159.0,0.1088561,4948.516789735708,403582645.0,0.296631991,13484.66854889906,1011.0,0.0337799458718968,34301,2891,316.93635815388984
CO,4,Priority 5,1744.8666666666666,22770,759.0,0.4349902571352156,460.53333333333336,0.0786076093993982,0.0303030303030303,12500.199333333334,1417.3666666666666,14462339,539342,29232,25787,0.0372928611340115,0.054199376277019,0.0020212498130489,152230624.0,0.150540348,6685.578568291612,8346221.0,0.00825355,366.544620114185,7606.533596837944,107958358.0,0.10675965,4741.254194115064,268535203.0,0.265553551,11793.37738252086,694.0,0.0304787000439174,26257,2064,276.28355557253656
CO,5,Priority 5,1775.354838709677,27543,888.483870967742,0.5004542481284977,502.9354838709677,0.0757551644014387,0.0296627092183131,12823.101469534053,1436.3870967741937,15638427,602784,34936,30748,0.038545053156561,0.0579577427403514,0.0022339842747611,170102451.0,0.139532499,6175.886831499837,13624500.0,0.01117597,494.662890752641,7633.039792324728,121283076.0,0.0994867,4403.408343317721,305010027.0,0.250195169,11073.9580655702,778.0,0.0282467414588098,31417,2380,284.14904789592265
CO,6,Priority 5,1649.2666666666669,24463,815.4333333333333,0.4944217632078904,468.4,0.082228862717525,0.0297592282222131,11814.17908333333,1323.9333333333334,16438742,582794,32152,27755,0.0354524695381191,0.0551687217095577,0.001955867425865,143768713.0,0.128249289,5876.986183215468,1817650.0,0.00162144,74.302007112783,8016.189715079917,109472822.0,0.09765554,4475.036667620488,255059185.0,0.22752627,10426.324857948737,660.0,0.0269795200915668,28445,2339,332.24346174057155
CO,1,Priority 4,760.92,47912,1916.48,2.5186353361720024,590.4,0.0378664810087414,0.0301803306061112,6180.910211111112,674.52,8461719,687011,56128,50593,0.0811904767813726,0.0816988374276394,0.0066331675632339,358101294.0,0.174978809,7474.146226415094,34265336.0,0.01674305,715.172315912506,7001.995658707631,260546691.0,0.12731076,5438.025776423443,652913321.0,0.319032623,13627.344318751044,1383.0,0.0288654199365503,51708,1958,444.8151711086579
CO,2,Priority 4,744.3448275862069,43403,1496.655172413793,2.010701380524414,541.3793103448276,0.0346995006027208,0.0285464138423611,6406.5563793103465,669.4827586206897,9495396,563535,50367,45682,0.059348235713392,0.0893768798743645,0.0053043601341113,335075553.0,0.171740862,7720.101214201783,68506598.0,0.03511262,1578.383936594245,7401.347902218739,211525083.0,0.10841585,4873.512959933645,615107234.0,0.315269334,14171.998110729672,1232.0,0.0283851346681105,46456,1612,439.8867784675252
CO,3,Priority 4,759.4193548387096,63568,2050.5806451612902,2.7001953954634272,592.2258064516129,0.0287700016162922,0.0307701988421847,6435.714632616489,677.1612903225806,12723753,776083,72878,67006,0.0609948181169502,0.0939049045011938,0.0057277125703398,538458674.0,0.187571496,8470.593285930026,116658030.0,0.0406377,1835.169110244148,7354.217876919203,303930854.0,0.10587398,4781.192644097659,959047558.0,0.334083177,15086.955040271834,1889.0,0.0297162094135414,68057,1958,540.4703508622887
CO,4,Priority 4,770.5,47087,1569.5666666666666,2.037075492104694,533.9666666666667,0.0330953545232273,0.0301781808142374,6354.021129629629,682.9,9962186,628623,54673,50237,0.063100909780243,0.0869726370177356,0.0054880525218059,405971381.0,0.195550484,8621.729585660585,42401239.0,0.02042406,900.487162061716,7001.146197464268,216789141.0,0.10442416,4604.012593709516,665161761.0,0.320398704,14126.229341431816,1395.0,0.0296260114256588,51125,1692,430.9836037205278
