country_code,month_,priority,eff_online_rs,complete_orders,daily_orders,orders_per_eff_online,active_rs,b_cancel_rate,bad_rating_rate,daily_online_hours,healthy_stores,exposure_uv,shop_enter_uv,click_pay_user_cnt_app,pay_success_user_cnt_app,b_p1,b_p2,b_p1p2,r_burn,r_burn_gmv,r_burn_per_order,b2c_total_burn,b2c_gmv,b2c_per_order,tri_per_order,total_p2c_burn,p2c_gmv,p2c_burn_per_order,ted,ted_gmv,ted_per_order,imperfect_orders,imperfect_order_rate,pay_order_cnt,b_cancel_order_cnt,exposure_per_eff_online
PE,1,Priority 5,792.0322580645161,7550,243.5483870967742,0.3074980654095222,175.51612903225808,0.066230677764566,0.035364238410596,5844.530824372761,562.6774193548387,5501943,298223,9294,8273,0.0542032151187316,0.0311645983039537,0.001689221425958,35781.63,0.114905215,4.7392887417219,9414.58,0.03023295,1.246964238411,9.4698966887417,35049.34,0.11255362,4.642296688742,80245.55,0.257691788,10.6285496688742,231,0.0305960264900662,8410,557,224.0843481448296
PE,2,Priority 5,802.9655172413793,7546,260.2068965517241,0.3240573735291591,190.0,0.0685660243527603,0.0296846011131725,5910.337404214561,574.9655172413793,6403187,238673,9315,8313,0.0372740949155475,0.0390282939419205,0.001454744332783,32395.95,0.105783001,4.2931288099655,14525.17,0.04742926,1.924883381924,9.3324423535648,31758.74,0.10370231,4.208685396236,78679.86,0.256914575,10.4266975881262,223,0.0295520805724887,8459,580,274.9801168083827
PE,3,Priority 5,798.5806451612904,8880,286.4516129032258,0.3587009209888512,195.6129032258065,0.0597544891954955,0.0309684684684684,5883.1574551971335,578.741935483871,6901632,250913,10757,9685,0.0363556040078636,0.0428714335247675,0.0015586168604758,47443.14,0.12807584,5.3426959459459,21309.56,0.05752654,2.399725225225,9.3431497747748,29877.5,0.08065625,3.364583333333,98630.2,0.266258636,11.1070045045045,276,0.031081081081081,9857,589,278.7862336403296
PE,4,Priority 5,884.4,8174,272.46666666666664,0.308080808080808,191.96666666666667,0.0500718470211119,0.0299730853927085,6518.716157407408,640.4,5702456,214414,9847,8903,0.0376002901206076,0.0459251727965524,0.0017267998209894,40659.4,0.127602237,4.9742353804747,7546.92,0.02368466,0.92328358209,8.7010533398581,25882.67,0.08122812,3.166463175924,74088.99,0.232515011,9.0639821384879,232,0.0283826767800342,9047,453,214.92748379315543
PE,5,Priority 5,855.3548387096774,8286,267.2903225806452,0.312490571730276,190.96774193548387,0.0612700776513136,0.0322230267921795,6344.851388888889,630.6451612903226,4944474,207984,10282,9190,0.0420639283369676,0.0494364951150088,0.0020794931877485,40400.73,0.122234332,4.8757820419986,12340.01,0.03733529,1.489260197924,8.937188027999,31561.78,0.09549167,3.80904899831,84302.52,0.255061287,10.1740912382332,219,0.0264301230992034,9401,576,186.4713380600392
PE,6,Priority 5,805.8666666666667,8843,294.76666666666665,0.3657759761747187,194.76666666666668,0.0579405583908736,0.0315503788307135,6020.059064814815,598.9666666666667,4981674,208593,11032,9781,0.0418720695091649,0.0528876807946575,0.0022145166464124,47406.96,0.137877436,5.3609589505824,6467.21,0.0188091,0.731336650458,8.5789019563497,33834.46,0.09840345,3.826129141694,87708.63,0.255089992,9.9184247427344,273,0.0308718760601605,9993,579,206.05865320979484
PE,1,Priority 4,317.4193548387097,19874,641.0967741935484,2.019715447154472,224.93548387096772,0.0272351347497504,0.0289825903190097,2580.75335125448,260.80645161290323,3696555,351193,22870,20683,0.0950054848365572,0.0651208879448052,0.0061868415321833,195793.43,0.226252498,9.8517374459092,50404.37,0.05824565,2.536196538191,8.7731116030995,90810.56,0.10493772,4.5693146825,337008.36,0.389435863,16.9572486665996,552,0.027774982389051,21039,573,375.6661585365854
PE,2,Priority 4,328.2758620689655,17280,595.8620689655172,1.815126050420168,224.9655172413793,0.0292598031217708,0.0302662037037037,2624.7985344827584,267.9310344827586,3254201,208290,20001,18064,0.0640064949890925,0.0960247731528157,0.0061462091616344,157358.46,0.217636041,9.1063923611111,39439.91,0.05454772,2.282402199074,8.3843952546296,66073.81,0.09138398,3.823715856481,262872.18,0.363567746,15.2125104166667,515,0.0298032407407407,18387,538,341.8278361344538
PE,3,Priority 4,321.4193548387097,18341,591.6451612903226,1.840726615816941,212.3548387096774,0.0254627262501278,0.0294967559020773,2560.4700985663085,261.1290322580645,3258080,211474,21014,19178,0.0649075529146,0.0993691895930469,0.0064498109315916,181987.11,0.227164613,9.9224202606183,53408.51,0.06666694,2.911973720081,8.5595561855951,59099.39,0.07377055,3.222255602203,294495.01,0.367602107,16.0566495829017,526,0.0286789160896352,19558,498,326.985146527499
PE,4,Priority 4,290.76666666666665,19192,639.7333333333333,2.2001604952424625,216.56666666666663,0.024886546625677,0.0279804085035431,2417.3738703703707,242.33333333333331,2618219,188765,21925,19951,0.0720967191820088,0.1161497099568246,0.0083740130218289,197015.26,0.241865223,10.2654887453105,40009.24,0.04911723,2.084683201334,8.0151761150479,56569.09,0.06944688,2.947534910379,293593.59,0.360429335,15.2977068570238,526,0.0274072530220925,20493,510,300.15120944629143
PE,5,Priority 4,269.83870967741933,22165,715.0,2.64973102211596,218.7741935483871,0.0257368376857838,0.0276110985788405,2250.8289964157702,229.74193548387095,2692937,200964,25365,23336,0.0746263280574332,0.1262166358153699,0.0094190840706633,230527.97,0.245219606,10.4005400406046,41181.35,0.04380585,1.857944958268,8.0237302052786,79701.67,0.08478109,3.595834423641,351410.99,0.373806548,15.854319422513,602,0.0271599368373561,23818,613,321.9291093843395
PE,6,Priority 4,284.8333333333333,23379,779.3,2.7359859566998246,234.3,0.0264738422633159,0.0286581975276957,2360.4370092592594,239.46666666666667,2916272,215549,26908,24826,0.0739125157049822,0.124834724355019,0.0092268485244174,235958.8,0.236258596,10.0927670131314,51956.68,0.05202269,2.222365370632,8.1922126694897,86230.24,0.0863398,3.688363060867,374145.72,0.374621088,16.0034954446298,604,0.025835151204072,25308,670,341.2840257460503
PE,1,Priority 3,52.54838709677419,1590,51.29032258064516,0.9760589318600368,28.0,0.0664772727272727,0.0339622641509433,300.48742831541216,38.903225806451616,319049,27187,2013,1717,0.0852126162438998,0.0740427410159267,0.0063093756758366,12399.59,0.181264867,7.7984842767296,3618.24,0.05289367,2.275622641509,9.3161006289308,7127.95,0.10420078,4.482987421384,23145.78,0.338359312,14.5570943396226,55,0.0345911949685534,1760,117,195.85573971761815
PE,2,Priority 3,59.793103448275865,2241,77.27586206896552,1.292387543252595,36.06896551724138,0.0569696969696969,0.0343596608656849,350.13285440613026,46.82758620689656,375636,25785,2680,2413,0.0686435804874932,0.1039363971301144,0.007134566441981,18154.02,0.194909134,8.1008567603748,4960.22,0.05325499,2.213395805444,8.6959526996876,9327.76,0.10014672,4.162320392682,32442.0,0.34831085,14.4765729585007,80,0.035698348951361,2475,141,216.62975778546712
PE,3,Priority 3,63.29032258064516,3180,102.58064516129032,1.620795107033639,41.74193548387097,0.057323015190599,0.030188679245283,383.0374551971325,48.32258064516129,455964,34182,3765,3434,0.0749664447193199,0.110145690714411,0.0082572308340132,28685.19,0.20354958,9.0205,11736.85,0.08328447,3.690833333333,9.1284308176101,10137.09,0.0719326,3.187764150943,50559.13,0.358766656,15.8990974842767,108,0.0339622641509433,3489,200,232.3975535168196
PE,4,Priority 3,68.0,1600,53.333333333333336,0.7843137254901961,31.1,0.0512820512820512,0.019375,402.8928611111112,54.06666666666667,316082,21566,2028,1750,0.068229130415525,0.0940369099508485,0.0064160565929094,9986.09,0.158342101,6.24130625,3106.23,0.04925321,1.94139375,8.588675,5707.0,0.09049171,3.566875,18799.32,0.298087021,11.749575,46,0.02875,1794,92,154.9421568627451
PE,5,Priority 3,91.64516129032258,2541,81.96774193548387,0.8944033790918691,44.80645161290322,0.0670543961683202,0.0291223927587563,585.6018458781363,70.2258064516129,504081,36275,3377,2852,0.071962640924772,0.0930944176430048,0.0066993201489443,18900.28,0.187372286,7.4381267217631,3685.73,0.03653933,1.450503738686,8.307929948839,10528.79,0.10437959,4.143561589925,33114.8,0.32829121,13.0321920503739,70,0.0275482093663911,2923,196,177.43083421330516
PE,6,Priority 3,77.53333333333333,2042,68.06666666666666,0.8779019776440241,37.8,0.0524704853519895,0.0342801175318315,507.15898148148153,61.6,452987,30459,2647,2248,0.0672403402305143,0.0869037066220164,0.0058434348005571,16787.51,0.194287067,8.22111165524,4023.38,0.04656383,1.970313418217,8.7760235063663,8592.61,0.09944494,4.207938295788,29403.5,0.340295837,14.3993633692458,60,0.029382957884427,2287,120,194.7493551160791
PE,1,Priority 2,125.7741935483871,46815,1510.1612903225807,12.00692485252629,122.70967741935485,0.0081115755493937,0.0240948413969881,1196.7814068100358,114.2258064516129,3889871,472354,50134,47543,0.1214317904115586,0.1061364993204249,0.0128883451404943,598504.87,0.285324325,12.7844680123892,180270.92,0.08594028,3.85070853359,8.4053839581331,188453.02,0.08984092,4.025483712485,967228.81,0.461105534,20.6606602584642,1109,0.0236889885720388,48326,392,997.658630418056
PE,2,Priority 2,123.51724137931036,32160,1108.9655172413793,8.97822445561139,118.44827586206895,0.0100419664268585,0.0220771144278606,1158.0455172413792,113.58620689655172,2441175,204012,34377,32730,0.0835712310670066,0.1685047938356567,0.0140821530615379,378084.82,0.279384728,11.7563687810945,87287.57,0.06450091,2.714165733831,7.7907154850746,104406.2,0.07715067,3.246461442786,569778.59,0.421036307,17.7169959577114,685,0.021299751243781,33360,335,681.5117252931324
PE,3,Priority 2,122.48387096774194,33295,1074.032258064516,8.7687648143271,117.03225806451611,0.0095544167462868,0.0239675626971016,1140.1621594982078,108.96774193548389,2332064,205131,35521,33881,0.0879611365725812,0.1731625156607241,0.0152315716892846,408820.97,0.286839988,12.2787496621114,95066.69,0.06670139,2.855284276918,7.7711665415228,89168.57,0.06256311,2.678136957501,593056.23,0.416104491,17.812170896531,806,0.024207839014867,34539,330,614.1859362654727
PE,4,Priority 2,82.06666666666666,29425,980.8333333333334,11.95166531275386,81.53333333333333,0.0094942903752039,0.0211384876805437,774.1415092592591,75.0,1571500,152919,31170,30056,0.0973076678332803,0.2038334019971357,0.0198345529748647,381518.1,0.311544534,12.9657807986406,86702.11,0.07080023,2.946545794393,7.3187170773152,66850.54,0.0545896,2.271896006797,535070.75,0.436934362,18.1842225998301,631,0.0214443500424808,30650,291,638.302193338749
PE,5,Priority 2,71.12903225806451,33736,1088.258064516129,15.299773242630383,70.6774193548387,0.0093835674514569,0.0203936447711643,672.9741935483871,65.19354838709677,1787883,175603,36026,34473,0.0982183957227626,0.2051559483607911,0.0201500881209788,397323.84,0.287311487,11.7774436803415,108263.09,0.07828684,3.209126452454,7.4820390680579,90418.6,0.0653832,2.680181408584,596005.53,0.430981527,17.6667515413801,728,0.0215793217927436,35381,332,810.8312925170068
PE,6,Priority 2,80.06666666666666,36916,1230.5333333333333,15.36885928393006,80.1,0.0085808069059988,0.0217520858164481,756.8731851851852,72.16666666666667,2138283,192861,39911,37881,0.0901943288142869,0.2069417870901841,0.0186649755902282,431977.91,0.286458927,11.701644544371,111019.59,0.07362078,3.007356972586,7.421172391375,98702.84,0.06545314,2.673714378589,641700.34,0.425532849,17.3827158955466,810,0.0219417054935529,38691,332,890.2094088259784
PE,1,Priority 1,240.8709677419355,6168,198.96774193548387,0.8260345520289273,82.83870967741936,0.071988388969521,0.0350194552529182,1574.9699283154123,170.06451612903226,1325433,102749,7171,6624,0.0775210817898754,0.06979143349327,0.0054103074240644,29556.2,0.131876144,4.7918612191958,22115.07,0.09867473,3.58545233463,8.3557976653696,23902.67,0.10665079,3.87527075227,75573.94,0.337201662,12.252584306096,215,0.0348573281452658,6890,496,177.50542386500604
PE,2,Priority 1,238.48275862068965,5891,203.1379310344828,0.851792943898207,94.58620689655172,0.0725709112854556,0.0371753522322186,1616.6553352490423,167.51724137931035,1437183,75561,6892,6456,0.0525757680128417,0.0912110744961024,0.0047954922929091,24448.95,0.112307347,4.1502206756069,28619.01,0.1314627,4.858090307248,8.6396588015617,23577.92,0.10830623,4.002362926498,76645.88,0.352076282,13.0106739093533,200,0.0339500933627567,6628,481,207.8055234239445
PE,3,Priority 1,195.6129032258065,4860,156.7741935483871,0.8014511873350924,75.03225806451613,0.0769792046698285,0.0440329218106995,1364.5085752688174,137.03225806451613,1391872,70668,5710,5332,0.0507719100606952,0.0808003622573159,0.0041023887254,22702.75,0.124810299,4.6713477366255,20230.71,0.11122005,4.162697530864,8.5651008230453,16225.06,0.08919865,3.338489711934,59158.52,0.325228995,12.1725349794239,195,0.0401234567901234,5482,422,229.5303430079156
PE,4,Priority 1,128.8,3634,121.13333333333334,0.9404761904761904,56.333333333333336,0.0609124537607891,0.0275178866263071,890.1975000000001,97.9,741210,43113,4138,3938,0.0581657020277654,0.0959803307587038,0.0055827633194371,23117.97,0.169368138,6.3615767749037,13653.72,0.10003063,3.757215189873,8.0753164556962,10963.69,0.08032279,3.01697578426,47735.38,0.349721555,13.1357677490369,102,0.0280682443588332,4055,247,191.82453416149067
PE,5,Priority 1,84.7741935483871,2787,89.90322580645162,1.0605022831050228,39.516129032258064,0.0625794155019059,0.0304987441693577,634.0520519713263,69.0,477214,31895,3243,3058,0.066835843038972,0.101677378899514,0.006795693336742,17536.47,0.169801494,6.2922389666308,8520.29,0.08249995,3.057154646573,7.9649515608181,9804.87,0.09493824,3.518073196986,35861.63,0.347239686,12.8674668101902,86,0.0308575529242913,3148,197,181.5882800608828
PE,6,Priority 1,57.23333333333333,3116,103.86666666666666,1.8147932440302852,30.6,0.0399184149184149,0.0365853658536585,471.267,47.23333333333333,420239,30322,3521,3354,0.0721541789315127,0.116120308686762,0.0083785655305671,16263.55,0.142785214,5.2193677792041,14741.75,0.12942463,4.730985237484,8.0784210526316,10892.7,0.09563204,3.495731707317,41898.0,0.367841885,13.4460847240051,114,0.0365853658536585,3432,137,244.75189283634245
