country_code,month_,priority,eff_online_rs,complete_orders,daily_orders,orders_per_eff_online,active_rs,b_cancel_rate,bad_rating_rate,daily_online_hours,healthy_stores,exposure_uv,shop_enter_uv,click_pay_user_cnt_app,pay_success_user_cnt_app,b_p1,b_p2,b_p1p2,gmv,realpay_price,r_burn,r_burn_gmv,r_burn_per_order,b2c_total_burn,b2c_gmv,b2c_per_order,tri_per_order,tri_gmv,aop,asp,total_p2c_burn,p2c_gmv,p2c_burn_per_order,ted,ted_gmv,ted_per_order,imperfect_orders,imperfect_order_rate,pay_order_cnt,b_cancel_order_cnt,exposure_per_eff_online
CO,1,Priority 5,1548.36,23089,923.56,0.5964762716680875,502.96,0.0818735575649805,0.0317034085495257,11002.268311111158,1230.52,11726777,529632,29386,25906,0.0451643277603044,0.0554838076249169,0.0025058888729614,1143173250.0,894339305.0,114424140.0,0.1000934372808321,4955.785872060288,14066175.0,0.0123044997772647,609.215427259734,9393.050933344883,0.1897141601240231,49511.59643120101,38734.43219715016,120343630.0,0.1052715587947846,5212.162934730824,248833945.0,0.2176694958528814,10777.164234050846,704.0,0.0304907098618389,26431,2164,302.94704073987964
CO,2,Priority 5,2060.793103448276,30542,1053.1724137931035,0.5110519886886535,605.2413793103449,0.0791333565056192,0.0288127823980092,14757.73469348658,1677.1724137931035,14233332,604796,37762,33849,0.0424915262287144,0.0624375822591419,0.0026530681642218,1344117179.0,960275735.0,180860639.0,0.1345571962219523,5921.702540763538,52535817.0,0.0390857417945403,1720.1171174120882,7799.9308820640435,0.1772356552850813,44008.813404492175,31441.15431209482,150444988.0,0.1119284764382882,4925.839434221728,383841444.0,0.2855714144547809,12567.659092397354,905.0,0.0296313273524982,34524,2732,238.16294362732796
CO,3,Priority 5,1818.645161290323,29929,965.451612903226,0.530863102628685,544.8709677419355,0.0842832570478994,0.0319088509472418,12940.1578405018,1469.354838709677,17868238,673874,37594,33667,0.0377135115393023,0.0557878772589534,0.0021039567527587,1360549966.0,956967321.0,209456847.0,0.1539501321041523,6998.4579170704,46021639.0,0.0338257617508183,1537.6938420929532,7839.560092218249,0.1724524639766151,45459.252430752786,31974.58388185372,148104159.0,0.1088560969469018,4948.516789735708,403582645.0,0.2966319908018725,13484.66854889906,1011.0,0.0337799458718968,34301,2891,316.93635815388984
CO,4,Priority 5,1744.8666666666666,22770,759.0,0.4349902571352156,460.53333333333336,0.0786076093993982,0.0303030303030303,12500.19933333342,1417.3666666666666,14462339,539342,29232,25787,0.0372928611340115,0.054199376277019,0.0020212498130489,1011228062.0,742692859.0,152230624.0,0.150540347643161,6685.578568291612,8346221.0,0.0082535496330005,366.5446201141853,7606.533596837944,0.1712776538829872,44410.54290733421,32617.16552481335,107958358.0,0.1067596539859472,4741.254194115064,268535203.0,0.2655535512621088,11793.37738252086,694.0,0.0304787000439174,26257,2064,276.28355557253656
CO,5,Priority 5,1775.354838709677,27543,888.483870967742,0.5004542481284977,502.9354838709677,0.0757551644014387,0.0296627092183131,12823.10146953407,1436.3870967741937,15638427,602784,34936,30748,0.038545053156561,0.0579577427403514,0.0022339842747611,1219088397.0,914078370.0,170102451.0,0.1395324993811748,6175.886831499837,13624500.0,0.0111759738125044,494.66289075264126,7633.039792324728,0.1724541185999,44261.278618886834,33187.32055331663,121283076.0,0.0994866953852239,4403.408343317721,305010027.0,0.2501951685789033,11073.9580655702,778.0,0.0282467414588098,31417,2380,284.14904789592265
CO,6,Priority 5,1649.2666666666669,24463,815.4333333333333,0.4944217632078904,468.4,0.082228862717525,0.0297592282222131,11814.179083333356,1323.9333333333334,16438742,582794,32152,27755,0.0354524695381191,0.0551687217095577,0.001955867425865,1121009828.0,865950643.0,143768713.0,0.1282492886404917,5876.986183215468,1817650.0,0.0016214398434337,74.30200711278258,8016.189715079917,0.1749316055059599,45824.707844499855,35398.38298655112,109472822.0,0.0976555416961072,4475.036667620488,255059185.0,0.2275262701800327,10426.324857948737,666.0,0.0272247884560356,28445,2339,332.24346174057155
CO,7,Priority 5,1579.354838709677,21172,682.9677419354839,0.4324346405228758,432.0967741935484,0.0839106374257019,0.0266861893066314,11314.288154121858,1274.3225806451612,16652814,527554,27314,23824,0.0316795707920595,0.0517747946181812,0.001640203271351,947245819.0,734540246.0,129611161.0,0.1368294886081729,6121.819431324391,94612.0,9.98811481689e-05,4.468732287927451,7826.713961836387,0.1749357819018254,44740.4977800869,34693.947005478934,82999800.0,0.0876222394812174,3920.262610995655,212705573.0,0.2245516092375594,10046.550774607971,543.0,0.0256470810504439,24395,2047,340.1310049019608
CO,8,Priority 5,1412.1612903225807,17226,555.6774193548387,0.393494300660164,353.48387096774195,0.0820497178587768,0.0269360269360269,10075.6531362007,1140.3870967741937,12471110,435190,22082,19266,0.0348958512915049,0.0507410556308738,0.0017706523316689,775560188.0,587610985.0,108821401.0,0.140313289263373,6317.276268431441,282861.0,0.0003647183086195,16.42058516196447,7795.076976663182,0.1731367830345618,45022.65110878904,34111.864913502846,78844941.0,0.1016619241419854,4577.089341692789,187949203.0,0.242339931713978,10910.786195286197,417.0,0.0242075931731104,19671,1614,284.87813235260523
CO,9,Priority 5,1326.0333333333333,19318,643.9333333333333,0.4856087076745179,359.1,0.0681921572195432,0.0293508644787245,9514.370611111126,1067.9333333333334,11898494,422485,23797,21543,0.0355074348064553,0.056326260103909,0.0020000010085309,850744030.0,623279335.0,143123199.0,0.168232974846735,7408.800031059117,216768.0,0.0002547981441609,11.221037374469406,7345.609897504917,0.1667981049482063,44038.92897815509,32264.175121648204,84124728.0,0.0988837124134741,4354.7327880733,227464695.0,0.2673714854043701,11774.753856506884,549.0,0.0284190910032094,21982,1499,299.0999220733516
CO,1,Priority 4,760.92,47912,1916.48,2.5186353361720024,590.4,0.0378664810087414,0.0301803306061112,6180.910211111124,674.52,8461719,687011,56128,50593,0.0811904767813726,0.0816988374276394,0.0066331675632339,2046540928.0,1393627607.0,358101294.0,0.1749788089261218,7474.146226415094,34265336.0,0.0167430494700568,715.1723159125063,7001.995658707631,0.1639251927044773,42714.57939555852,29087.23507680748,260546691.0,0.127310764927932,5438.025776423442,652913321.0,0.3190326233241107,13627.344318751044,1383.0,0.0288654199365503,51708,1958,444.8151711086579
