Country,priority,date,"B2C, R Burn & P2C Daily Orders",B2C & R Burn Daily Orders,B2C & P2C Daily Orders,R Burn & P2C Daily Orders,B2C Only Daily Orders,R Burn Only Daily Orders,P2C Only Daily Orders,No Burn Daily Orders
MX,Priority 1,2024-07-01,9231,19129,11,5723,25,12059,3277,7490
MX,Priority 2,2024-07-01,3845,7621,18,2586,51,5341,1891,4142
MX,Priority 6,2024-07-01,7,14,0,186,0,370,206,416
MX,Priority 3,2024-07-01,284,529,1,219,2,448,147,322
MX,Priority 4,2024-07-01,67,135,9,3145,19,6768,3136,6903
MX,Priority 5,2024-07-01,15,28,0,374,0,708,782,1561
CO,Priority 3,2024-07-01,273,240,0,43,0,35,20,17
CO,Priority 6,2024-07-01,0,0,0,60,0,56,26,20
CO,Priority 4,2024-07-01,90,63,0,528,0,451,178,157
CO,Priority 1,2024-07-01,3081,2533,0,1480,0,1268,279,229
CO,Priority 2,2024-07-01,1622,1301,1,807,2,669,275,242
CO,Priority 5,2024-07-01,1,0,0,141,0,121,187,161
CR,Priority 1,2024-07-01,242,681,0,70,0,181,21,49
CR,Priority 4,2024-07-01,0,0,0,28,0,71,16,30
CR,Priority 6,2024-07-01,0,0,0,6,0,14,5,9
CR,Priority 2,2024-07-01,86,212,0,54,1,139,20,50
CR,Priority 3,2024-07-01,13,33,0,13,0,29,5,11
CR,Priority 5,2024-07-01,0,0,0,15,0,29,24,47
PE,Priority 1,2024-07-01,409,699,2,115,2,185,31,31
PE,Priority 2,2024-07-01,212,285,6,80,5,95,42,40
PE,Priority 3,2024-07-01,19,31,2,12,2,11,9,7
PE,Priority 4,2024-07-01,2,3,0,30,0,37,11,9
PE,Priority 6,2024-07-01,0,0,0,9,0,10,8,9
PE,Priority 5,2024-07-01,1,1,0,41,0,45,61,60
MX,Priority 1,2024-06-01,9153,17260,178,5826,406,11189,3282,7155
MX,Priority 2,2024-06-01,3412,6410,141,2529,309,4878,2032,4356
MX,Priority 4,2024-06-01,201,352,23,3646,57,7146,3362,7000
MX,Priority 3,2024-06-01,244,459,14,241,33,478,160,326
MX,Priority 6,2024-06-01,26,45,13,332,27,626,614,1251
MX,Priority 5,2024-06-01,29,49,2,433,6,782,1011,1987
CO,Priority 4,2024-06-01,110,82,2,583,2,515,205,181
CO,Priority 1,2024-06-01,2722,2276,1,1535,2,1294,293,251
CO,Priority 2,2024-06-01,1710,1410,6,915,7,750,315,282
CO,Priority 6,2024-06-01,4,3,0,83,0,65,44,35
CO,Priority 3,2024-06-01,279,230,6,71,6,55,28,24
CO,Priority 5,2024-06-01,20,14,0,166,1,134,201,165
CR,Priority 1,2024-06-01,253,596,0,76,0,200,17,45
CR,Priority 4,2024-06-01,2,6,0,49,0,111,24,46
CR,Priority 6,2024-06-01,1,1,0,5,0,7,5,11
CR,Priority 2,2024-06-01,94,205,0,53,0,130,22,44
CR,Priority 3,2024-06-01,9,18,1,14,1,33,2,5
CR,Priority 5,2024-06-01,1,1,0,15,0,30,29,52
PE,Priority 1,2024-06-01,356,620,3,103,3,166,28,28
PE,Priority 2,2024-06-01,164,209,7,63,6,79,32,33
PE,Priority 3,2024-06-01,13,26,3,6,3,9,6,7
PE,Priority 4,2024-06-01,7,10,0,60,0,79,14,13
PE,Priority 6,2024-06-01,2,4,0,11,0,21,13,13
PE,Priority 5,2024-06-01,5,6,0,32,0,37,60,61
MX,Priority 1,2024-05-01,9228,18146,194,4849,426,10136,3442,8302
MX,Priority 2,2024-05-01,2717,5479,102,1913,241,4108,2020,4767
MX,Priority 3,2024-05-01,80,144,12,159,26,355,184,410
MX,Priority 4,2024-05-01,702,1338,21,3609,51,7593,3419,7755
MX,Priority 5,2024-05-01,456,822,120,818,206,1671,1493,3217
CO,Priority 3,2024-05-01,53,45,2,38,3,29,15,13
CO,Priority 1,2024-05-01,2503,2243,4,1161,5,1036,271,236
CO,Priority 2,2024-05-01,1165,1035,7,603,7,540,288,277
CO,Priority 4,2024-05-01,392,347,7,564,6,499,238,231
CO,Priority 5,2024-05-01,136,117,10,323,7,286,241,219
CR,Priority 1,2024-05-01,265,652,1,63,4,172,20,51
CR,Priority 4,2024-05-01,12,25,0,44,0,96,25,56
CR,Priority 3,2024-05-01,4,7,0,11,0,23,5,11
CR,Priority 2,2024-05-01,69,167,0,51,1,125,18,42
CR,Priority 5,2024-05-01,7,15,1,19,2,48,30,64
PE,Priority 1,2024-05-01,328,549,1,107,3,168,24,27
PE,Priority 2,2024-05-01,128,164,0,70,1,81,39,51
PE,Priority 3,2024-05-01,9,13,1,4,2,5,8,9
PE,Priority 4,2024-05-01,20,27,1,42,2,52,15,17
PE,Priority 5,2024-05-01,17,21,2,44,3,50,54,64
MX,Priority 1,2024-04-01,9329,18837,459,3960,1052,9033,3205,8748
MX,Priority 2,2024-04-01,2503,5375,277,1517,651,3598,1716,4727
MX,Priority 3,2024-04-01,46,105,7,67,16,151,77,186
MX,Priority 4,2024-04-01,716,1426,35,2938,87,6844,3215,8368
MX,Priority 5,2024-04-01,184,343,31,582,58,1284,973,2318
CO,Priority 3,2024-04-01,45,36,3,27,2,22,18,14
CO,Priority 4,2024-04-01,195,156,4,428,3,348,243,207
CO,Priority 1,2024-04-01,2547,1998,11,822,6,651,262,196
CO,Priority 2,2024-04-01,1274,995,14,653,16,485,308,250
CO,Priority 5,2024-04-01,108,84,1,234,1,179,228,179
CR,Priority 1,2024-04-01,226,664,0,53,0,167,20,58
CR,Priority 3,2024-04-01,2,4,0,2,1,4,1,1
CR,Priority 4,2024-04-01,13,39,0,41,0,111,26,71
CR,Priority 2,2024-04-01,69,196,1,40,1,117,21,58
CR,Priority 5,2024-04-01,6,14,0,20,0,44,35,84
PE,Priority 1,2024-04-01,283,542,1,63,1,113,20,24
PE,Priority 2,2024-04-01,145,212,5,40,5,56,35,46
PE,Priority 3,2024-04-01,5,10,1,5,1,5,9,9
PE,Priority 4,2024-04-01,15,25,0,26,0,34,18,22
PE,Priority 5,2024-04-01,17,27,1,41,0,48,51,61
MX,Priority 1,2024-03-01,7073,16370,341,4673,915,11019,2893,9101
MX,Priority 2,2024-03-01,1412,3594,200,1408,544,3743,1485,4693
MX,Priority 3,2024-03-01,35,90,27,114,69,262,112,312
MX,Priority 4,2024-03-01,1106,2746,479,2625,1302,6592,2864,8657
MX,Priority 5,2024-03-01,227,557,169,527,437,1361,994,2673
CO,Priority 3,2024-03-01,53,50,7,75,7,66,32,27
CO,Priority 4,2024-03-01,355,283,54,490,32,434,284,232
CO,Priority 1,2024-03-01,2052,1571,17,1203,5,1018,277,201
CO,Priority 2,2024-03-01,781,646,16,584,9,473,308,264
CO,Priority 5,2024-03-01,160,124,45,255,32,199,252,197
CR,Priority 1,2024-03-01,167,472,1,77,1,267,17,56
CR,Priority 3,2024-03-01,1,2,0,4,1,8,1,3
CR,Priority 4,2024-03-01,21,66,3,34,10,98,24,61
CR,Priority 2,2024-03-01,41,129,2,48,4,148,18,50
CR,Priority 5,2024-03-01,8,23,4,17,11,44,33,80
PE,Priority 1,2024-03-01,284,500,2,74,2,119,25,33
PE,Priority 4,2024-03-01,56,92,4,36,4,39,18,21
PE,Priority 2,2024-03-01,111,136,8,41,9,45,35,37
PE,Priority 3,2024-03-01,9,13,3,8,5,12,10,10
PE,Priority 5,2024-03-01,47,63,20,40,24,47,66,72
