country_code,month_,priority,total_complete_orders_for_overdue,overdue_orders
CO,1,,20355,2900
CO,1,New Rs,12110,1638
CO,1,Priority 1,3991,395
CO,1,Priority 2,244040,32539
CO,1,Priority 3,41548,6153
CO,1,Priority 4,47865,6028
CO,1,Priority 5,23055,3472
CO,2,,2,null
CO,2,New Rs,13591,2081
CO,2,Priority 1,2468,536
CO,2,Priority 2,217336,31859
CO,2,Priority 3,48502,6540
CO,2,Priority 4,43385,6322
CO,2,Priority 5,30487,4712
CO,3,,904,3
CO,3,New Rs,19694,3371
CO,3,Priority 1,196380,31096
CO,3,Priority 2,95412,13599
CO,3,Priority 3,9821,1703
CO,3,Priority 4,63511,9964
CO,3,Priority 5,29885,4785
CO,4,,202,18
CO,4,New Rs,19906,2916
CO,4,Priority 1,194744,30924
CO,4,Priority 2,116418,15733
CO,4,Priority 3,5009,863
CO,4,Priority 4,47049,7086
CO,4,Priority 5,22732,3420
CO,5,,null,null
CO,5,New Rs,25498,3782
CO,5,Priority 1,231131,35120
CO,5,Priority 2,117572,15314
CO,5,Priority 3,6154,953
CO,5,Priority 4,70346,11587
CO,5,Priority 5,27502,3846
CO,6,,null,null
CO,6,New Rs,24358,4037
CO,6,Priority 1,251044,39362
CO,6,Priority 2,155441,22272
CO,6,Priority 3,20950,4068
CO,6,Priority 4,49005,8171
CO,6,Priority 5,24417,3911
CO,7,,86,22
CO,7,New Rs,21665,2552
CO,7,Priority 1,274863,40027
CO,7,Priority 2,149801,19174
CO,7,Priority 3,19468,3568
CO,7,Priority 4,45392,6301
CO,7,Priority 5,21138,3140
CR,1,,3728,527
CR,1,New Rs,828,129
CR,1,Priority 1,443,61
CR,1,Priority 2,32690,4483
CR,1,Priority 3,14476,2491
CR,1,Priority 4,9816,1322
CR,1,Priority 5,4876,780
CR,2,,null,null
CR,2,New Rs,864,207
CR,2,Priority 1,145,13
CR,2,Priority 2,32581,5176
CR,2,Priority 3,12244,2213
CR,2,Priority 4,8628,1573
CR,2,Priority 5,6565,1394
CR,3,,4663,480
CR,3,New Rs,1378,267
CR,3,Priority 1,32741,5564
CR,3,Priority 2,13651,2909
CR,3,Priority 3,619,144
