Country,Priority,Month,ChangeTo,# Rs
MX,Priority 5,april,Stays,51367
MX,Priority 5,april,Priority 4,378
MX,Priority 5,april,No Registered,173
MX,Priority 5,april,Priority 2,100
MX,Priority 5,april,Priority 3,123
MX,Priority 5,april,Priority 1,1
MX,Priority 5,may,Stays,51152
MX,Priority 5,may,Priority 3,151
MX,Priority 5,may,Priority 4,766
MX,Priority 5,may,Priority 2,113
MX,Priority 5,may,No Registered,171
MX,Priority 5,may,Priority 1,18
MX,Priority 5,june,Stays,51278
MX,Priority 5,june,Priority 4,295
MX,Priority 5,june,Priority 3,67
MX,Priority 5,june,Priority 2,114
MX,Priority 5,june,Priority 1,2
MX,Priority 5,july,Stays,51545
MX,Priority 5,july,Priority 2,151
MX,Priority 5,july,Priority 4,240
MX,Priority 5,july,Priority 3,61
MX,Priority 5,july,Priority 1,11
MX,Priority 5,august,Stays,51984
MX,Priority 5,august,Priority 4,118
MX,Priority 5,august,Priority 2,79
MX,Priority 5,august,No Registered,14
MX,Priority 5,august,Priority 1,10
MX,Priority 5,august,Priority 3,15
MX,Priority 3,april,Stays,331
MX,Priority 3,april,Priority 4,28
MX,Priority 3,april,Priority 5,70
MX,Priority 3,april,Priority 2,14
MX,Priority 3,april,Priority 1,2
MX,Priority 3,july,Priority 4,112
MX,Priority 3,july,Stays,516
MX,Priority 3,july,Priority 2,91
MX,Priority 3,july,Priority 6,135
MX,Priority 3,july,Priority 5,7
MX,Priority 3,august,Stays,827
MX,Priority 3,august,Priority 5,2
MX,Priority 3,may,Priority 5,470
MX,Priority 3,may,Stays,260
MX,Priority 3,may,Priority 4,53
MX,Priority 3,may,Priority 2,19
MX,Priority 3,may,Priority 1,10
MX,Priority 3,june,Stays,663
MX,Priority 3,june,Priority 5,59
MX,Priority 3,june,Priority 2,9
MX,Priority 3,june,Priority 4,66
MX,Priority 3,june,Priority 1,1
MX,Priority 6,july,Priority 5,187
MX,Priority 6,july,Priority 4,79
MX,Priority 6,july,Priority 3,33
MX,Priority 6,july,Priority 2,24
MX,Priority 6,june,Priority 5,403
MX,Priority 6,june,Priority 3,13
MX,Priority 6,june,Priority 4,163
MX,Priority 6,june,Priority 2,24
MX,Priority 4,august,Priority 6,296
MX,Priority 4,august,Stays,2722
MX,Priority 4,august,Priority 2,133
MX,Priority 4,august,Priority 3,15
MX,Priority 4,august,No Registered,62
MX,Priority 4,april,Priority 5,580
MX,Priority 4,april,Stays,2548
MX,Priority 4,april,Priority 2,320
MX,Priority 4,april,Priority 3,89
MX,Priority 4,april,Priority 1,31
MX,Priority 4,april,No Registered,17
MX,Priority 4,july,Priority 6,369
MX,Priority 4,july,Stays,2176
MX,Priority 4,july,No Registered,44
MX,Priority 4,july,Priority 2,292
MX,Priority 4,july,Priority 3,91
MX,Priority 4,july,Priority 1,36
MX,Priority 4,july,Priority 5,1
MX,Priority 4,may,Stays,2591
MX,Priority 4,may,Priority 5,383
MX,Priority 4,may,Priority 2,264
MX,Priority 4,may,No Registered,43
MX,Priority 4,may,Priority 1,42
MX,Priority 4,may,Priority 3,19
MX,Priority 4,june,Stays,2412
MX,Priority 4,june,Priority 5,459
MX,Priority 4,june,Priority 2,142
MX,Priority 4,june,Priority 1,27
MX,Priority 4,june,Priority 3,3
MX,No Registered,april,Priority 5,5199
MX,No Registered,april,Stays,462
MX,No Registered,april,Priority 3,26
MX,No Registered,may,Stays,5450
MX,No Registered,june,Stays,5450
MX,No Registered,june,Priority 5,1
MX,No Registered,june,Priority 2,1
MX,No Registered,june,Priority 1,2
MX,No Registered,july,Stays,5338
MX,No Registered,july,Priority 6,1
MX,No Registered,august,Stays,5206
MX,No Registered,august,Priority 5,21
MX,No Registered,august,Priority 2,7
MX,No Registered,august,Priority 1,9
MX,No Registered,august,Priority 3,4
MX,No Registered,august,Priority 4,3
MX,Priority 1,april,Priority 2,96
MX,Priority 1,april,Stays,1155
MX,Priority 1,april,Priority 3,3
MX,Priority 1,april,Priority 4,69
MX,Priority 1,april,No Registered,2
MX,Priority 1,june,Priority 2,144
MX,Priority 1,june,Stays,1091
MX,Priority 1,june,Priority 4,78
MX,Priority 1,june,Priority 3,5
MX,Priority 1,june,Priority 5,3
MX,Priority 1,july,Stays,1179
MX,Priority 1,july,Priority 2,169
MX,Priority 1,july,Priority 4,136
MX,Priority 1,july,Priority 6,26
MX,Priority 1,july,Priority 3,18
MX,Priority 1,july,Priority 5,5
MX,Priority 1,august,Stays,1514
MX,Priority 1,august,Priority 2,57
MX,Priority 1,august,Priority 4,10
MX,Priority 1,may,Stays,1078
MX,Priority 1,may,Priority 2,131
MX,Priority 1,may,Priority 4,38
MX,Priority 2,may,Priority 1,177
MX,Priority 2,may,Stays,1302
MX,Priority 2,may,Priority 5,137
MX,Priority 2,may,Priority 4,137
MX,Priority 2,may,Priority 3,15
MX,Priority 2,may,No Registered,23
MX,Priority 2,july,Priority 4,300
MX,Priority 2,july,Stays,1311
MX,Priority 2,july,Priority 6,72
MX,Priority 2,july,Priority 3,79
MX,Priority 2,july,No Registered,72
MX,Priority 2,july,Priority 1,95
MX,Priority 2,july,Priority 5,11
MX,Priority 2,april,Stays,991
MX,Priority 2,april,Priority 4,504
MX,Priority 2,april,Priority 1,121
MX,Priority 2,april,Priority 5,188
MX,Priority 2,april,Priority 3,19
MX,Priority 2,april,No Registered,6
MX,Priority 2,june,Stays,1357
MX,Priority 2,june,Priority 4,328
MX,Priority 2,june,Priority 1,124
MX,Priority 2,june,Priority 5,168
MX,Priority 2,june,Priority 3,61
MX,Priority 2,august,Priority 4,156
MX,Priority 2,august,Stays,1664
MX,Priority 2,august,Priority 6,27
MX,Priority 2,august,No Registered,57
MX,Priority 2,august,Priority 5,1
CR,Priority 5,april,Stays,1306
CR,Priority 5,april,Priority 3,6
CR,Priority 5,april,Priority 4,9
CR,Priority 5,april,No Registered,9
CR,Priority 5,april,Priority 2,8
CR,Priority 5,may,Stays,1279
CR,Priority 5,may,Priority 4,12
CR,Priority 5,may,No Registered,8
CR,Priority 5,may,Priority 2,8
CR,Priority 5,may,Priority 3,2
CR,Priority 5,june,Stays,1271
CR,Priority 5,june,Priority 3,8
CR,Priority 5,june,Priority 4,14
CR,Priority 5,june,Priority 2,2
CR,Priority 5,july,Stays,1278
CR,Priority 5,july,Priority 3,4
CR,Priority 5,july,Priority 4,9
CR,Priority 5,july,Priority 2,2
CR,Priority 5,july,Priority 1,1
CR,Priority 5,august,Stays,1294
CR,Priority 5,august,Priority 4,2
CR,Priority 5,august,No Registered,2
CR,Priority 5,august,Priority 2,1
CR,Priority 5,august,Priority 3,1
CR,Priority 3,may,Priority 5,43
CR,Priority 3,may,Stays,2
